"Rk,Player,WS,WS,Season,Age,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional"
"1,Bill Russell,17.3,17.3,1963-64,29,BOS,78,,3482,466,1077,466,1077,,,236,429,,,1930,370,,,,190,1168,.433,.433,,.550,.461,.433,C,russebi01"
"2,Bill Russell,16.9,16.9,1964-65,30,BOS,78,,3466,429,980,429,980,,,244,426,,,1878,410,,,,204,1102,.438,.438,,.573,.472,.438,C,russebi01"
"3,Ed Macauley,15.9,15.9,1950-51,22,BOS,68,,,459,985,459,985,,,466,614,,,616,252,,,,205,1384,.466,.466,,.759,.551,.466,C-F,macaued01"
"4,Larry Bird,15.8,15.8,1985-86,29,BOS,82,81,3113,796,1606,714,1412,82,194,441,492,190,615,805,557,166,51,266,182,2115,.496,.506,.423,.896,.580,.521,F,birdla01"
"5,Larry Bird,15.7,15.7,1984-85,28,BOS,80,77,3161,918,1760,862,1629,56,131,403,457,164,678,842,531,129,98,248,208,2295,.522,.529,.427,.882,.585,.538,F,birdla01"
"6,Bill Russell,15.5,15.5,1961-62,27,BOS,76,,3433,575,1258,575,1258,,,286,481,,,1790,341,,,,207,1436,.457,.457,,.595,.489,.457,C,russebi01"
"7,Larry Bird,15.2,15.2,1986-87,30,BOS,74,73,3005,786,1497,696,1272,90,225,414,455,124,558,682,566,135,70,240,185,2076,.525,.547,.400,.910,.612,.555,F,birdla01"
"8,Larry Bird,15.0,15.0,1987-88,31,BOS,76,75,2965,881,1672,783,1435,98,237,415,453,108,595,703,467,125,57,213,157,2275,.527,.546,.414,.916,.608,.556,F,birdla01"
"9,Kevin McHale,14.8,14.8,1986-87,29,BOS,77,77,3060,790,1307,790,1303,0,4,428,512,247,516,763,198,38,172,197,240,2008,.604,.606,.000,.836,.655,.604,F-C,mchalke01"
"10,Ed Macauley,14.6,14.6,1953-54,25,BOS,71,,2792,462,950,462,950,,,420,554,,,571,271,,,,168,1344,.486,.486,,.758,.563,.486,C-F,macaued01"
"11,Ed Macauley,14.5,14.5,1952-53,24,BOS,69,,2902,451,997,451,997,,,500,667,,,629,280,,,,188,1402,.452,.452,,.750,.543,.452,C-F,macaued01"
"12,Larry Bird,14.0,14.0,1982-83,26,BOS,79,79,2982,747,1481,725,1404,22,77,351,418,193,677,870,458,148,71,240,197,1867,.504,.516,.286,.840,.561,.512,F,birdla01"
"13,Bill Russell,13.8,13.8,1959-60,25,BOS,74,,3146,555,1189,555,1189,,,240,392,,,1778,277,,,,210,1350,.467,.467,,.612,.496,.467,C,russebi01"
