"1,Pau Gasol,12.0,12.0,2005-06,25,MEM,80,80,3135,600,1194,597,1182,3,12,425,617,191,522,713,371,46,153,235,184,1628,.503,.505,.250,.689,.555,.504,C-F,gasolpa01"
"2,Marc Gasol,11.5,11.5,2012-13,28,MEM,80,80,2796,429,869,428,855,1,14,268,316,184,438,622,318,80,139,157,255,1127,.494,.501,.071,.848,.559,.494,C,gasolma01"
"3,Zach Randolph,10.5,10.5,2010-11,29,MEM,75,74,2724,598,1188,590,1145,8,43,300,396,326,588,914,163,63,25,151,175,1504,.503,.515,.186,.758,.552,.507,F-C,randoza01"
"4,Marc Gasol,10.2,10.2,2014-15,30,MEM,81,81,2687,530,1072,527,1055,3,17,350,440,115,515,630,307,70,131,176,208,1413,.494,.500,.176,.795,.558,.496,C,gasolma01"
"5,Mike Conley,10.0,10.0,2016-17,29,MEM,69,68,2292,464,1009,293,590,171,419,316,368,31,210,241,433,92,19,156,126,1415,.460,.497,.408,.859,.604,.545,G,conlemi01"
"6,James Posey,10.0,10.0,2003-04,27,MEM,82,82,2451,368,770,256,480,112,290,278,335,92,311,403,122,137,40,112,248,1126,.478,.533,.386,.830,.614,.551,F-G,poseyja01"
"7,Mike Conley,9.9,9.9,2012-13,25,MEM,80,80,2757,414,940,308,647,106,293,234,282,43,182,225,487,174,24,189,171,1168,.440,.476,.362,.830,.549,.497,G,conlemi01"
"8,Zach Randolph,9.7,9.7,2009-10,28,MEM,81,81,3051,652,1336,637,1284,15,52,362,465,330,620,950,149,80,34,174,226,1681,.488,.496,.288,.778,.546,.494,F-C,randoza01"
"9,Shane Battier,9.1,9.1,2005-06,27,MEM,81,81,2839,303,621,238,456,65,165,147,208,164,265,429,136,92,114,90,223,818,.488,.522,.394,.707,.574,.540,F,battish01"
"10,Shareef Abdur-Rahim,8.8,8.8,1999-00,23,VAN,82,82,3223,594,1277,565,1181,29,96,446,551,218,607,825,271,89,87,249,244,1663,.465,.478,.302,.809,.547,.477,F,abdursh01"
"11,Shareef Abdur-Rahim,8.5,8.5,2000-01,24,VAN,81,81,3241,604,1280,592,1216,12,64,443,531,175,560,735,250,90,77,231,238,1663,.472,.487,.188,.834,.549,.477,F,abdursh01"
"12,Pau Gasol,8.5,8.5,2002-03,22,MEM,82,82,2948,569,1116,568,1106,1,10,416,565,192,528,720,229,34,148,213,220,1555,.510,.514,.100,.736,.570,.510,C-F,gasolpa01"
"13,Marc Gasol,8.4,8.4,2009-10,25,MEM,69,69,2469,378,651,378,650,0,1,252,376,208,432,640,165,69,109,135,254,1008,.581,.582,.000,.670,.617,.581,C,gasolma01"
"14,Marc Gasol,8.2,8.2,2011-12,27,MEM,65,65,2370,357,740,356,728,1,12,237,317,120,459,579,204,62,121,121,201,952,.482,.489,.083,.748,.541,.483,C,gasolma01"
"15,Mike Conley,8.2,8.2,2013-14,26,MEM,73,73,2446,463,1030,358,739,105,291,225,276,41,172,213,441,110,13,150,141,1256,.450,.484,.361,.815,.545,.500,G,conlemi01"
"16,Pau Gasol,8.1,8.1,2003-04,23,MEM,78,78,2458,506,1049,502,1034,4,15,365,511,206,394,600,198,44,132,187,185,1381,.482,.485,.267,.714,.542,.484,C-F,gasolpa01"
"17,Mike Conley,8.0,8.0,2018-19,31,MEM,70,70,2342,490,1120,335,694,155,426,343,406,40,199,239,449,94,22,130,123,1478,.438,.483,.364,.845,.569,.507,G,conlemi01"
"18,Zach Randolph,7.9,7.9,2012-13,31,MEM,76,75,2607,471,1024,469,1001,2,23,225,300,310,544,854,108,61,31,150,180,1169,.460,.469,.087,.750,.506,.461,F-C,randoza01"
"19,Marc Gasol,7.9,7.9,2010-11,26,MEM,81,81,2586,364,691,361,684,3,7,220,294,154,415,569,200,74,136,146,265,951,.527,.528,.429,.748,.580,.529,C,gasolma01"
"20,Shane Battier,7.8,7.8,2004-05,26,MEM,80,72,2516,271,613,201,436,70,177,180,228,158,255,413,126,91,77,75,201,792,.442,.461,.395,.789,.555,.499,F,battish01"
"21,Jonas Valančiūnas,7.8,7.8,2020-21,28,MEM,62,61,1755,440,743,419,686,21,57,157,203,253,523,776,112,35,57,100,179,1058,.592,.611,.368,.773,.636,.606,C,valanjo01"
"22,Marc Gasol,7.7,7.7,2016-17,32,MEM,74,74,2531,532,1160,428,892,104,268,278,332,60,404,464,338,67,99,166,171,1446,.459,.480,.388,.837,.554,.503,C,gasolma01"
"23,Pau Gasol,7.6,7.6,2001-02,21,MEM,82,79,3007,551,1064,550,1059,1,5,338,477,238,492,730,223,41,169,224,195,1441,.518,.519,.200,.709,.566,.518,C-F,gasolpa01"
"24,Mike Miller,7.4,7.4,2005-06,25,MEM,74,9,2268,354,760,216,421,138,339,168,210,42,355,397,200,52,27,140,173,1014,.466,.513,.407,.800,.595,.557,F-G,millemi01"
"25,Desmond Bane,7.2,7.2,2021-22,23,MEM,76,76,2266,508,1101,280,578,228,523,140,155,46,288,334,208,92,29,111,196,1384,.461,.484,.436,.903,.592,.565,G,banede01"
"26,Eddie Jones,7.2,7.2,2005-06,34,MEM,75,75,2437,292,722,159,348,133,374,168,215,35,244,279,177,131,27,93,201,885,.404,.457,.356,.781,.542,.497,G-F,jonesed02"
"27,Zach Randolph,7.2,7.2,2014-15,33,MEM,71,71,2304,454,932,447,912,7,20,228,298,225,522,747,153,69,14,156,175,1143,.487,.490,.350,.765,.538,.491,F-C,randoza01"
"28,Mike Miller,7.0,7.0,2004-05,24,MEM,76,51,2278,387,766,247,443,140,323,108,150,36,264,300,220,54,23,127,197,1022,.505,.558,.433,.720,.614,.597,F-G,millemi01"
"29,Jonas Valančiūnas,7.0,7.0,2019-20,27,MEM,70,70,1845,432,739,400,648,32,91,148,200,213,575,788,131,30,76,127,185,1044,.585,.617,.352,.740,.631,.606,C,valanjo01"
"30,Shareef Abdur-Rahim,6.9,6.9,1997-98,21,VAN,82,82,2950,653,1347,632,1296,21,51,502,640,227,354,581,213,89,76,257,201,1829,.485,.488,.412,.784,.562,.493,F,abdursh01"
"31,Pau Gasol,6.9,6.9,2006-07,26,MEM,59,59,2133,462,858,459,847,3,11,299,400,149,432,581,201,29,126,162,137,1226,.538,.542,.273,.748,.593,.540,C-F,gasolpa01"
"32,Pau Gasol,6.8,6.8,2004-05,24,MEM,56,53,1790,357,695,356,689,1,6,282,367,130,280,410,135,37,93,137,146,997,.514,.517,.167,.768,.582,.514,C-F,gasolpa01"
"33,Mike Conley,6.8,6.8,2014-15,27,MEM,70,70,2225,393,882,286,605,107,277,214,249,29,180,209,375,89,14,156,139,1107,.446,.473,.386,.859,.558,.506,G,conlemi01"
"34,Steven Adams,6.8,6.8,2021-22,28,MEM,76,75,1999,210,384,210,383,0,1,108,199,349,411,760,256,65,60,115,153,528,.547,.548,.000,.543,.560,.547,C,adamsst01"
"35,Ja Morant,6.7,6.7,2021-22,22,MEM,57,57,1889,580,1177,492,921,88,256,316,415,77,248,325,384,66,22,196,86,1564,.493,.534,.344,.761,.575,.530,G,moranja01"
"36,Mike Conley,6.6,6.6,2010-11,23,MEM,81,81,2872,423,953,343,736,80,217,181,247,32,215,247,528,144,18,176,182,1107,.444,.466,.369,.733,.521,.486,G,conlemi01"
"37,Mike Conley,6.4,6.4,2011-12,24,MEM,62,61,2174,296,684,236,525,60,159,136,158,22,134,156,404,136,11,125,133,788,.433,.450,.377,.861,.523,.477,G,conlemi01"
"38,Marc Gasol,6.4,6.4,2008-09,24,MEM,82,75,2521,350,661,350,660,0,1,275,375,201,404,605,143,63,90,164,265,975,.530,.530,.000,.733,.590,.530,C,gasolma01"
"39,Rudy Gay,6.4,6.4,2009-10,23,MEM,80,80,3175,600,1288,534,1086,66,202,301,400,115,357,472,153,118,64,169,201,1567,.466,.492,.327,.753,.535,.491,F,gayru01"
"40,Zach Randolph,6.4,6.4,2013-14,32,MEM,79,79,2705,560,1198,558,1178,2,20,250,337,265,530,795,200,54,23,183,210,1372,.467,.474,.100,.742,.510,.468,F-C,randoza01"
"41,Brandon Clarke,6.3,6.3,2021-22,25,MEM,64,1,1246,288,447,283,425,5,22,85,130,135,207,342,86,39,68,34,122,666,.644,.666,.227,.654,.660,.650,F,clarkbr01"
"42,Shane Battier,6.2,6.2,2002-03,24,MEM,78,47,2383,275,569,189,353,86,216,120,145,128,217,345,105,102,88,68,207,756,.483,.535,.398,.828,.597,.559,F,battish01"
"43,Rudy Gay,6.0,6.0,2011-12,25,MEM,65,65,2422,485,1067,431,894,54,173,208,263,130,287,417,147,95,55,161,138,1232,.455,.482,.312,.791,.521,.480,F,gayru01"
"44,Shane Battier,5.9,5.9,2003-04,25,MEM,79,1,1947,242,543,177,357,65,186,120,164,102,201,303,101,101,58,56,187,669,.446,.496,.349,.732,.544,.506,F,battish01"
"45,JaMychal Green,5.8,5.8,2016-17,26,MEM,77,75,2101,250,500,195,355,55,145,134,167,167,377,544,84,47,34,94,248,689,.500,.549,.379,.802,.601,.555,F,greenja01"
"46,Mike Bibby,5.6,5.6,1999-00,21,VAN,82,82,3155,459,1031,382,819,77,212,195,250,73,233,306,665,132,15,247,171,1190,.445,.466,.363,.780,.521,.483,G,bibbymi01"
"47,O.J. Mayo,5.6,5.6,2009-10,22,MEM,82,82,3113,542,1183,406,828,136,355,212,262,61,250,311,242,98,17,176,174,1432,.458,.490,.383,.809,.551,.516,G,mayooj01"
"48,Marc Gasol,5.6,5.6,2013-14,29,MEM,59,59,1970,336,711,334,700,2,11,185,241,84,340,424,215,59,76,111,150,859,.473,.477,.182,.768,.526,.474,C,gasolma01"
"49,Kyle Anderson,5.6,5.6,2020-21,27,MEM,69,69,1887,308,658,214,397,94,261,144,184,52,344,396,250,84,57,86,120,854,.468,.539,.360,.783,.578,.540,F-G,anderky01"
"50,Michael Dickerson,5.5,5.5,1999-00,24,VAN,82,82,3103,554,1270,435,979,119,291,269,324,78,201,279,208,116,45,165,226,1496,.436,.444,.409,.830,.530,.483,G-F,dickemi01"
"51,Rudy Gay,5.5,5.5,2010-11,24,MEM,54,54,2152,409,869,352,725,57,144,194,241,82,254,336,153,91,58,135,131,1069,.471,.486,.396,.805,.548,.503,F,gayru01"
"52,Jason Williams,5.4,5.4,2003-04,28,MEM,72,68,2115,290,713,170,349,120,364,82,98,25,122,147,492,92,5,136,97,782,.407,.487,.330,.837,.517,.491,G,willija02"
"53,Jaren Jackson Jr.,5.4,5.4,2021-22,22,MEM,78,78,2126,430,1036,302,635,128,401,284,345,119,335,454,86,73,177,130,272,1272,.415,.476,.319,.823,.535,.477,F,jacksja02"
"54,Mike Bibby,5.3,5.3,2000-01,22,VAN,82,82,3190,525,1157,417,872,108,285,143,188,47,257,304,685,107,12,248,148,1301,.454,.478,.379,.761,.525,.500,G,bibbymi01"
"55,Mike Conley,5.3,5.3,2015-16,28,MEM,56,56,1761,294,696,216,481,78,215,191,229,26,138,164,342,67,16,84,100,857,.422,.449,.363,.834,.538,.478,G,conlemi01"
"56,Lorenzen Wright,5.2,5.2,2004-05,29,MEM,80,77,2287,320,683,320,680,0,3,131,198,177,436,613,87,58,69,100,251,771,.469,.471,.000,.662,.501,.469,F-C,wrighlo02"
"57,Tyus Jones,5.1,5.1,2021-22,25,MEM,73,23,1549,249,552,169,347,80,205,54,66,17,159,176,324,66,2,46,32,632,.451,.487,.390,.818,.544,.524,G,jonesty01"
"58,Tony Allen,5.1,5.1,2012-13,31,MEM,79,79,2109,284,638,281,614,3,24,134,187,121,242,363,98,119,44,94,211,705,.445,.458,.125,.717,.489,.447,G-F,allento01"
"59,Mike Miller,5.0,5.0,2007-08,27,MEM,70,70,2474,414,824,259,465,155,359,164,212,51,416,467,240,35,16,182,145,1147,.502,.557,.432,.774,.625,.596,F-G,millemi01"
"60,Rudy Gay,5.0,5.0,2007-08,21,MEM,81,81,3000,625,1355,491,968,134,387,248,316,140,359,499,158,111,79,190,230,1632,.461,.507,.346,.785,.546,.511,F,gayru01"
"61,Brandon Clarke,5.0,5.0,2019-20,23,MEM,58,4,1300,296,479,273,415,23,64,85,112,92,253,345,81,32,48,55,100,700,.618,.658,.359,.759,.663,.642,F,clarkbr01"
"62,Chucky Atkins,4.9,4.9,2006-07,32,MEM,75,23,2064,310,715,194,409,116,306,252,311,18,121,139,346,50,4,127,136,988,.434,.474,.379,.810,.580,.515,G,atkinch01"
"63,Bryant Reeves,4.9,4.9,1997-98,24,VAN,74,74,2527,492,941,492,937,0,4,223,316,196,389,585,155,39,80,156,278,1207,.523,.525,.000,.706,.559,.523,C,reevebr01"
"64,Courtney Lee,4.8,4.8,2014-15,29,MEM,77,74,2354,288,643,198,419,90,224,111,129,21,157,178,151,75,12,78,129,777,.448,.473,.402,.860,.555,.518,G,leeco01"
"65,Mike Miller,4.8,4.8,2006-07,26,MEM,70,69,2740,465,1010,263,512,202,498,161,203,52,326,378,298,54,18,179,138,1293,.460,.514,.406,.793,.588,.560,F-G,millemi01"
"66,Greg Anthony,4.8,4.8,1995-96,28,VAN,69,68,2096,324,781,234,510,90,271,229,297,29,145,174,476,116,11,160,137,967,.415,.459,.332,.771,.530,.472,G,anthogr01"
"67,Shane Battier,4.8,4.8,2001-02,23,MEM,78,78,3097,412,961,309,685,103,276,198,283,180,238,418,216,121,81,155,215,1125,.429,.451,.373,.700,.518,.482,F,battish01"
"68,Stromile Swift,4.8,4.8,2003-04,24,MEM,77,10,1528,268,571,267,567,1,4,190,262,141,237,378,38,56,118,88,188,727,.469,.471,.250,.725,.530,.470,F,swiftst01"
