"1,Karl Malone,16.7,16.7,1996-97,33,UTA,82,82,2998,864,1571,864,1558,0,13,521,690,193,616,809,368,113,48,233,217,2249,.550,.555,.000,.755,.600,.550,F,malonka01"
"2,Karl Malone,16.4,16.4,1997-98,34,UTA,81,81,3030,780,1472,778,1466,2,6,628,825,189,645,834,316,96,70,247,237,2190,.530,.531,.333,.761,.597,.531,F,malonka01"
"3,Karl Malone,15.9,15.9,1989-90,26,UTA,82,82,3122,914,1627,898,1584,16,43,696,913,232,679,911,226,121,50,304,259,2540,.562,.567,.372,.762,.626,.567,F,malonka01"
"4,John Stockton,15.6,15.6,1988-89,26,UTA,82,82,3171,497,923,481,857,16,66,390,452,83,165,248,1118,263,14,308,241,1400,.538,.561,.242,.863,.624,.547,G,stockjo01"
"5,Karl Malone,15.5,15.5,1990-91,27,UTA,82,82,3302,847,1608,843,1594,4,14,684,888,236,731,967,270,89,79,244,268,2382,.527,.529,.286,.770,.596,.528,F,malonka01"
"6,Karl Malone,15.4,15.4,1992-93,29,UTA,82,82,3099,797,1443,793,1423,4,20,619,836,227,692,919,308,124,85,240,261,2217,.552,.557,.200,.740,.612,.554,F,malonka01"
"7,Karl Malone,15.3,15.3,1999-00,36,UTA,82,82,2947,752,1476,750,1468,2,8,589,739,169,610,779,304,79,71,231,229,2095,.509,.511,.250,.797,.582,.510,F,malonka01"
"8,Karl Malone,15.2,15.2,1988-89,25,UTA,80,80,3126,809,1559,804,1543,5,16,703,918,259,594,853,219,144,70,285,286,2326,.519,.521,.313,.766,.592,.521,F,malonka01"
"9,Karl Malone,15.1,15.1,1995-96,32,UTA,82,82,3113,789,1520,773,1480,16,40,512,708,175,629,804,345,138,56,199,245,2106,.519,.522,.400,.723,.575,.524,F,malonka01"
"10,Karl Malone,15.1,15.1,1991-92,28,UTA,81,81,3054,798,1516,795,1499,3,17,673,865,225,684,909,241,108,51,248,226,2272,.526,.530,.176,.778,.599,.527,F,malonka01"
"11,Adrian Dantley,14.6,14.6,1983-84,28,UTA,79,79,2984,802,1438,801,1434,1,4,813,946,179,269,448,310,61,4,263,201,2418,.558,.559,.250,.859,.652,.558,F-G,dantlad01"
"12,John Stockton,14.4,14.4,1989-90,27,UTA,78,78,2915,472,918,425,805,47,113,354,432,57,149,206,1134,207,18,272,233,1345,.514,.528,.416,.819,.607,.540,G,stockjo01"
"13,Rudy Gobert,14.4,14.4,2018-19,26,UTA,81,80,2577,476,712,476,712,0,0,332,522,309,732,1041,161,66,187,130,231,1284,.669,.669,,.636,.682,.669,C,goberru01"
"14,Rudy Gobert,14.3,14.3,2016-17,24,UTA,81,81,2744,413,625,413,624,0,1,311,476,314,721,1035,97,49,214,147,246,1137,.661,.662,.000,.653,.681,.661,C,goberru01"
"15,John Stockton,14.1,14.1,1987-88,25,UTA,82,79,2842,454,791,430,724,24,67,272,324,54,183,237,1128,242,16,262,247,1204,.574,.594,.358,.840,.645,.589,G,stockjo01"
"16,John Stockton,14.0,14.0,1990-91,28,UTA,82,82,3103,496,978,438,810,58,168,363,434,46,191,237,1164,234,16,298,233,1413,.507,.541,.345,.836,.604,.537,G,stockjo01"
"17,John Stockton,13.9,13.9,1994-95,32,UTA,82,82,2867,429,791,327,564,102,227,246,306,57,194,251,1011,194,22,267,215,1206,.542,.580,.449,.804,.651,.607,G,stockjo01"
"18,Karl Malone,13.8,13.8,1994-95,31,UTA,82,82,3126,830,1548,819,1507,11,41,516,695,156,715,871,285,129,85,236,269,2187,.536,.543,.268,.742,.590,.540,F,malonka01"
"19,John Stockton,13.6,13.6,1996-97,34,UTA,82,82,2896,416,759,340,579,76,180,275,325,45,183,228,860,166,15,248,194,1183,.548,.587,.422,.846,.656,.598,G,stockjo01"
"20,Adrian Dantley,13.6,13.6,1980-81,25,UTA,80,,3417,909,1627,907,1620,2,7,632,784,192,317,509,322,109,18,282,245,2452,.559,.560,.286,.806,.622,.559,F-G,dantlad01"
