"1,Walt Frazier,15.6,15.6,1970-71,25,NYK,80,,3455,651,1317,651,1317,,,434,557,,,544,536,,,,240,1736,.494,.494,,.779,.556,.494,G,fraziwa01"
"2,Walt Frazier,15.0,15.0,1969-70,24,NYK,77,,3040,600,1158,600,1158,,,409,547,,,465,629,,,,203,1609,.518,.518,,.748,.575,.518,G,fraziwa01"
"3,Willis Reed,14.7,14.7,1968-69,26,NYK,82,,3108,704,1351,704,1351,,,325,435,,,1191,190,,,,314,1733,.521,.521,,.747,.562,.521,C-F,reedwi01"
"4,Willis Reed,14.6,14.6,1969-70,27,NYK,81,,3089,702,1385,702,1385,,,351,464,,,1126,161,,,,287,1755,.507,.507,,.756,.552,.507,C-F,reedwi01"
"5,Walt Frazier,14.5,14.5,1971-72,26,NYK,77,,3126,669,1307,669,1307,,,450,557,,,513,446,,,,185,1788,.512,.512,,.808,.576,.512,G,fraziwa01"
"6,Patrick Ewing,13.5,13.5,1989-90,27,NYK,82,82,3165,922,1673,921,1669,1,4,502,648,235,658,893,182,78,327,278,325,2347,.551,.552,.250,.775,.599,.551,C-F,ewingpa01"
"7,Kenny Sears,13.3,13.3,1958-59,25,NYK,71,,2498,491,1002,491,1002,,,506,588,,,658,136,,,,237,1488,.490,.490,,.861,.590,.490,F,searske01"
"8,Patrick Ewing,13.1,13.1,1993-94,31,NYK,79,79,2972,745,1503,741,1489,4,14,445,582,219,666,885,179,90,217,260,275,1939,.496,.498,.286,.765,.551,.497,C-F,ewingpa01"
"9,Patrick Ewing,13.0,13.0,1991-92,29,NYK,82,82,3150,796,1525,795,1519,1,6,377,511,228,693,921,156,88,245,209,277,1970,.522,.523,.167,.738,.563,.522,C-F,ewingpa01"
"10,Walt Frazier,13.0,13.0,1972-73,27,NYK,78,,3181,681,1389,681,1389,,,286,350,,,570,461,,,,186,1648,.490,.490,,.817,.534,.490,G,fraziwa01"
"11,Walt Frazier,12.7,12.7,1968-69,23,NYK,80,,2949,531,1052,531,1052,,,341,457,,,499,635,,,,245,1403,.505,.505,,.746,.560,.505,G,fraziwa01"
"12,Richie Guerin,12.1,12.1,1961-62,29,NYK,78,,3348,839,1897,839,1897,,,625,762,,,501,539,,,,299,2303,.442,.442,,.820,.516,.442,G,gueriri01"
"13,Bernard King,12.1,12.1,1983-84,27,NYK,77,76,2667,795,1391,795,1387,0,4,437,561,123,271,394,164,75,17,197,273,2027,.572,.573,.000,.779,.619,.572,F,kingbe01"
"14,Harry Gallatin,11.8,11.8,1953-54,26,NYK,72,,2690,258,639,258,639,,,433,552,,,1098,153,,,,208,949,.404,.404,,.784,.538,.404,F-C,gallaha01"
