"1,Richard Jefferson,11.7,11.7,2005-06,25,NJN,78,78,3059,495,1005,435,817,60,188,471,580,95,439,534,297,59,17,174,193,1521,.493,.532,.319,.812,.603,.522,F,jefferi01"
"2,Buck Williams,11.4,11.4,1982-83,22,NJN,82,82,2961,536,912,536,908,0,4,324,523,365,662,1027,125,91,110,246,270,1396,.588,.590,.000,.620,.611,.588,F-C,willibu01"
"3,Jason Kidd,11.3,11.3,2002-03,29,NJN,80,80,2989,515,1244,389,874,126,370,339,403,110,394,504,711,179,25,296,127,1495,.414,.445,.341,.841,.526,.465,G,kiddja01"
"4,Richard Jefferson,11.0,11.0,2003-04,23,NJN,82,82,3133,555,1115,507,983,48,132,357,468,109,355,464,315,92,28,198,224,1515,.498,.516,.364,.763,.573,.519,F,jefferi01"
"5,Deron Williams,10.9,10.9,2012-13,28,BRK,78,78,2842,495,1124,326,677,169,447,317,369,29,203,232,604,75,30,218,194,1476,.440,.482,.378,.859,.574,.516,G,willide01"
"6,Vince Carter,10.5,10.5,2006-07,30,NJN,82,82,3126,726,1598,570,1161,156,437,462,576,114,378,492,393,82,30,217,266,2070,.454,.491,.357,.802,.559,.503,G-F,cartevi01"
"7,Jason Kidd,10.1,10.1,2005-06,32,NJN,80,80,2975,366,905,227,510,139,395,194,244,86,494,580,672,150,29,192,157,1065,.404,.445,.352,.795,.526,.481,G,kiddja01"
"8,Derrick Coleman,9.9,9.9,1993-94,26,NJN,77,77,2778,541,1209,503,1088,38,121,439,567,262,608,870,262,68,142,208,209,1559,.447,.462,.314,.774,.534,.463,F-C,colemde01"
"9,Richard Jefferson,9.9,9.9,2002-03,22,NJN,80,80,2879,456,911,450,887,6,24,324,436,150,364,514,201,80,44,156,216,1242,.501,.507,.250,.743,.563,.504,F,jefferi01"
"10,Derrick Coleman,9.5,9.5,1992-93,25,NJN,76,73,2759,564,1226,541,1127,23,99,421,521,247,605,852,276,92,126,243,210,1572,.460,.480,.232,.808,.540,.469,F-C,colemde01"
"11,Vince Carter,9.3,9.3,2005-06,29,NJN,79,79,2906,653,1518,528,1151,125,367,480,601,135,327,462,338,94,53,213,235,1911,.430,.459,.341,.799,.536,.471,G-F,cartevi01"
"12,Jason Kidd,9.3,9.3,2006-07,33,NJN,80,80,2933,369,908,245,547,124,361,179,230,135,520,655,736,127,23,213,146,1041,.406,.448,.343,.778,.516,.475,G,kiddja01"
"13,Mike Gminski,9.2,9.2,1985-86,26,NJN,81,78,2525,491,949,491,948,0,1,351,393,206,462,668,133,56,71,140,163,1333,.517,.518,.000,.893,.594,.517,C,gminsmi01"
"14,Brook Lopez,9.0,9.0,2012-13,24,BRK,74,74,2253,570,1094,570,1093,0,1,297,392,208,304,512,70,33,154,131,152,1437,.521,.522,.000,.758,.567,.521,C,lopezbr01"
