"1,Nikola Jokić,15.6,15.6,2020-21,25,DEN,72,72,2488,732,1293,640,1056,92,237,342,394,205,575,780,599,95,48,222,192,1898,.566,.606,.388,.868,.647,.602,C-F,jokicni01"
"2,Nikola Jokić,15.2,15.2,2021-22,26,DEN,74,74,2476,764,1311,667,1023,97,288,379,468,206,813,1019,584,109,63,281,191,2004,.583,.652,.337,.810,.661,.620,C-F,jokicni01"
"3,David Thompson,12.7,12.7,1977-78,23,DEN,80,,3025,826,1584,826,1584,,,520,668,156,234,390,362,92,99,245,213,2172,.521,.521,,.778,.578,.521,G-F,thompda01"
"4,Nikola Jokić,11.8,11.8,2018-19,23,DEN,80,80,2504,616,1206,533,936,83,270,289,352,228,637,865,580,108,55,248,228,1604,.511,.569,.307,.821,.589,.545,C-F,jokicni01"
"5,Allen Iverson,11.6,11.6,2007-08,32,DEN,82,82,3424,712,1556,617,1281,95,275,645,797,47,196,243,586,160,12,245,109,2164,.458,.482,.345,.809,.567,.488,G,iversal01"
"6,Dan Issel,11.5,11.5,1979-80,31,DEN,82,,2938,715,1416,711,1404,4,12,517,667,236,483,719,198,88,54,163,190,1951,.505,.506,.333,.775,.571,.506,C-F,isselda01"
"7,Dan Issel,11.1,11.1,1977-78,29,DEN,82,,2851,659,1287,659,1287,,,428,547,253,577,830,304,100,41,259,279,1746,.512,.512,,.782,.571,.512,C-F,isselda01"
"8,Kiki Vandeweghe,11.0,11.0,1982-83,24,DEN,82,79,2909,841,1537,826,1486,15,51,489,559,124,313,437,203,66,38,177,198,2186,.547,.556,.294,.875,.613,.552,F,vandeki01"
"9,Bobby Jones,11.0,11.0,1976-77,25,DEN,82,,2419,501,879,501,879,,,236,329,174,504,678,264,186,162,,238,1238,.570,.570,,.717,.605,.570,F,jonesbo01"
"10,Dan Issel,10.9,10.9,1976-77,28,DEN,79,,2507,660,1282,660,1282,,,445,558,211,485,696,177,91,29,,246,1765,.515,.515,,.797,.578,.515,C-F,isselda01"
"11,Nenê,10.8,10.8,2009-10,27,DEN,82,82,2755,421,717,421,715,0,2,293,416,166,461,627,203,115,82,125,281,1135,.587,.589,.000,.704,.631,.587,F-C,hilarne01"
"12,David Thompson,10.7,10.7,1976-77,22,DEN,82,,3001,824,1626,824,1626,,,477,623,138,196,334,337,114,53,,236,2125,.507,.507,,.766,.559,.507,G-F,thompda01"
"13,Nikola Jokić,10.7,10.7,2017-18,22,DEN,75,73,2443,504,1010,393,730,111,280,266,313,195,608,803,458,90,61,210,212,1385,.499,.538,.396,.850,.603,.554,C-F,jokicni01"
"14,Dan Issel,10.5,10.5,1980-81,32,DEN,80,,2641,614,1220,612,1208,2,12,519,684,229,447,676,158,83,53,130,249,1749,.503,.507,.167,.759,.575,.504,C-F,isselda01"
"15,Fat Lever,10.4,10.4,1987-88,27,DEN,82,82,3061,643,1360,631,1303,12,57,248,316,203,462,665,639,223,21,182,214,1546,.473,.484,.211,.785,.516,.477,G,leverfa01"
"16,Kiki Vandeweghe,10.3,10.3,1983-84,25,DEN,78,71,2734,895,1603,884,1573,11,30,494,580,84,289,373,238,53,50,156,187,2295,.558,.562,.367,.852,.618,.562,F,vandeki01"
"17,Alex English,10.3,10.3,1982-83,29,DEN,82,82,2988,959,1857,957,1845,2,12,406,490,263,338,601,397,116,126,263,235,2326,.516,.519,.167,.829,.561,.517,F,englial01"
"18,Calvin Natt,10.2,10.2,1984-85,28,DEN,78,76,2657,685,1255,685,1252,0,3,447,564,209,401,610,238,75,33,190,182,1817,.546,.547,.000,.793,.604,.546,F,nattca01"
"19,Chauncey Billups,9.9,9.9,2008-09,32,DEN,77,77,2719,403,959,243,569,160,390,409,448,31,198,229,491,90,17,173,158,1375,.420,.427,.410,.913,.595,.504,G,billuch01"
"20,Nikola Jokić,9.8,9.8,2019-20,24,DEN,73,73,2336,565,1071,485,816,80,255,246,301,166,545,711,512,85,44,226,222,1456,.528,.594,.314,.817,.605,.565,C-F,jokicni01"
"21,Dan Issel,9.8,9.8,1978-79,30,DEN,81,,2742,532,1030,532,1030,,,316,419,240,498,738,255,61,46,171,233,1380,.517,.517,,.754,.568,.517,C-F,isselda01"
"22,Alex English,9.8,9.8,1985-86,32,DEN,81,81,3024,951,1888,950,1883,1,5,511,593,192,213,405,320,73,29,249,235,2414,.504,.505,.200,.862,.562,.504,F,englial01"
"23,Dan Issel,9.8,9.8,1981-82,33,DEN,81,81,2472,651,1236,647,1230,4,6,546,655,174,434,608,179,67,55,169,245,1852,.527,.526,.667,.834,.608,.528,C-F,isselda01"
"24,Fat Lever,9.7,9.7,1986-87,26,DEN,82,82,3054,643,1370,621,1278,22,92,244,312,216,513,729,654,201,34,167,219,1552,.469,.486,.239,.782,.515,.477,G,leverfa01"
"25,Nikola Jokić,9.7,9.7,2016-17,21,DEN,73,59,2038,494,854,449,715,45,139,188,228,212,506,718,359,61,55,171,214,1221,.578,.628,.324,.825,.640,.605,C-F,jokicni01"
"26,Nenê,9.6,9.6,2010-11,28,DEN,75,75,2291,402,654,401,649,1,5,286,402,145,426,571,149,84,73,134,238,1091,.615,.618,.200,.711,.657,.615,F-C,hilarne01"
"27,Alex English,9.5,9.5,1981-82,28,DEN,82,82,3015,855,1553,855,1545,0,8,372,443,210,348,558,433,87,120,261,261,2082,.551,.553,.000,.840,.596,.551,F,englial01"
"28,David Thompson,9.5,9.5,1978-79,24,DEN,76,,2670,693,1353,693,1353,,,439,583,109,165,274,225,70,82,186,180,1825,.512,.512,,.753,.567,.512,G-F,thompda01"
