"1,Chris Paul,18.3,18.3,2008-09,23,NOH,78,78,3002,631,1255,567,1079,64,176,455,524,69,363,432,861,216,10,231,212,1781,.503,.525,.364,.868,.599,.528,G,paulch01"
"2,Chris Paul,17.8,17.8,2007-08,22,NOH,80,80,3006,630,1291,538,1042,92,249,332,390,62,259,321,925,217,4,201,185,1684,.488,.516,.369,.851,.576,.524,G,paulch01"
"3,Anthony Davis,14.0,14.0,2014-15,21,NOP,68,68,2455,642,1199,641,1187,1,12,371,461,173,523,696,149,100,200,95,141,1656,.535,.540,.083,.805,.591,.536,F-C,davisan02"
"4,Chris Paul,13.9,13.9,2010-11,25,NOH,80,80,2880,430,928,359,745,71,183,337,384,38,289,327,782,188,5,177,196,1268,.463,.482,.388,.878,.578,.502,G,paulch01"
"5,Anthony Davis,13.7,13.7,2017-18,24,NOP,75,75,2727,780,1462,725,1300,55,162,495,598,187,645,832,174,115,193,162,159,2110,.534,.558,.340,.828,.612,.552,F-C,davisan02"
"6,Anthony Davis,11.0,11.0,2016-17,23,NOP,75,75,2708,770,1526,730,1392,40,134,519,647,172,712,884,157,94,167,181,168,2099,.505,.524,.299,.802,.580,.518,F-C,davisan02"
"7,Chris Paul,10.4,10.4,2005-06,20,NOK,78,78,2808,407,947,357,770,50,177,394,465,61,339,400,611,175,6,183,218,1258,.430,.464,.282,.847,.546,.456,G,paulch01"
"8,Anthony Davis,10.4,10.4,2013-14,20,NOP,67,66,2358,522,1005,520,996,2,9,348,440,207,466,673,105,89,189,109,200,1394,.519,.522,.222,.791,.582,.520,F-C,davisan02"
"9,P.J. Brown,10.2,10.2,2002-03,33,NOH,78,78,2609,319,601,319,598,0,3,194,232,243,458,701,147,67,80,98,203,832,.531,.533,.000,.836,.592,.531,F-C,brownpj01"
"10,Tyson Chandler,10.0,10.0,2007-08,25,NOH,79,79,2783,377,605,377,604,0,1,175,295,322,606,928,81,45,84,136,243,929,.623,.624,.000,.593,.632,.623,C,chandty01"
"11,Anthony Davis,9.5,9.5,2018-19,25,NOP,56,56,1850,530,1026,482,881,48,145,344,433,174,498,672,218,88,135,112,132,1452,.517,.547,.331,.794,.597,.540,F-C,davisan02"
"12,Jamal Mashburn,9.0,9.0,2002-03,30,NOH,82,81,3321,670,1586,551,1280,119,306,313,369,66,432,498,462,83,17,230,196,1772,.422,.430,.389,.848,.507,.460,F,mashbja01"
"13,Chris Paul,8.8,8.8,2006-07,21,NOK,64,64,2353,381,871,331,728,50,143,292,357,54,226,280,569,118,3,161,154,1104,.437,.455,.350,.818,.537,.466,G,paulch01"
"14,Zion Williamson,8.7,8.7,2020-21,20,NOP,61,61,2026,634,1037,624,1003,10,34,369,529,167,274,441,226,57,39,167,135,1647,.611,.622,.294,.698,.649,.616,F-C,willizi01"
"15,David West,8.4,8.4,2007-08,27,NOH,76,76,2870,629,1305,623,1280,6,25,300,353,180,495,675,177,62,99,165,208,1564,.482,.487,.240,.850,.535,.484,F-C,westda01"
"16,Peja Stojaković,8.1,8.1,2007-08,30,NOH,77,77,2711,451,1026,220,502,231,524,130,140,64,267,331,96,57,10,61,127,1263,.440,.438,.441,.929,.581,.552,F,stojape01"
"17,P.J. Brown,8.1,8.1,2003-04,34,NOH,80,80,2753,339,712,339,711,0,1,158,185,237,453,690,155,78,73,101,203,836,.476,.477,.000,.854,.527,.476,F-C,brownpj01"
"18,Tyson Chandler,7.9,7.9,2006-07,24,NOK,73,73,2525,292,468,292,467,0,1,106,201,320,584,904,66,37,129,126,244,690,.624,.625,.000,.527,.620,.624,C,chandty01"
"19,David West,7.8,7.8,2010-11,30,NOH,70,70,2451,528,1040,526,1031,2,9,264,327,155,374,529,164,67,62,142,202,1322,.508,.510,.222,.807,.558,.509,F-C,westda01"
"20,David West,7.8,7.8,2008-09,28,NOH,76,76,2982,610,1292,604,1267,6,25,367,415,160,486,646,173,49,68,163,207,1593,.472,.477,.240,.884,.540,.474,F-C,westda01"
"21,Jamaal Magloire,7.6,7.6,2003-04,25,NOH,82,82,2777,383,809,383,808,0,1,353,470,268,579,847,86,43,101,201,278,1119,.473,.474,.000,.751,.551,.473,C,magloja01"
"22,David West,7.5,7.5,2009-10,29,NOH,81,81,2949,619,1226,612,1199,7,27,296,342,164,441,605,239,76,60,173,233,1541,.505,.510,.259,.865,.560,.508,F-C,westda01"
"23,Baron Davis,7.5,7.5,2003-04,24,NOH,67,66,2686,554,1402,367,820,187,582,237,352,66,221,287,501,158,27,215,178,1532,.395,.448,.321,.673,.492,.462,G,davisba01"
"24,David West,7.4,7.4,2005-06,25,NOK,74,74,2526,530,1036,527,1025,3,11,199,236,168,380,548,92,61,64,105,214,1262,.512,.514,.273,.843,.554,.513,F-C,westda01"
"25,Jonas Valančiūnas,7.3,7.3,2021-22,29,NOP,74,74,2240,510,938,453,780,57,158,237,289,226,617,843,190,41,60,179,247,1314,.544,.581,.361,.820,.617,.574,C,valanjo01"
"26,Chris Paul,7.3,7.3,2009-10,24,NOH,45,45,1712,314,637,262,510,52,127,161,190,20,171,191,480,96,8,112,118,841,.493,.514,.409,.847,.584,.534,G,paulch01"
"27,Anthony Davis,7.2,7.2,2015-16,22,NOP,61,61,2164,560,1136,525,1028,35,108,326,430,130,497,627,116,78,125,121,148,1481,.493,.511,.324,.758,.559,.508,F-C,davisan02"
"28,Jrue Holiday,7.1,7.1,2017-18,27,NOP,81,81,2927,615,1244,495,888,120,356,187,238,62,303,365,486,123,64,213,201,1537,.494,.557,.337,.786,.570,.543,G,holidjr01"
"29,David Wesley,7.0,7.0,2002-03,32,NOH,73,73,2710,449,1037,315,721,134,316,185,237,38,137,175,251,109,9,132,173,1217,.433,.437,.424,.781,.533,.498,G,wesleda01"
"30,P.J. Brown,6.9,6.9,2004-05,35,NOH,82,78,2817,338,758,338,758,0,0,210,243,266,471,737,178,74,50,101,233,886,.446,.446,,.864,.512,.446,F-C,brownpj01"
"31,Jamaal Magloire,6.7,6.7,2002-03,24,NOH,82,82,2443,305,635,305,632,0,3,231,322,260,464,724,88,49,111,158,276,841,.480,.483,.000,.717,.541,.480,C,magloja01"
"32,Ryan Anderson,6.5,6.5,2012-13,24,NOH,81,22,2503,472,1115,259,558,213,557,152,180,191,328,519,97,42,31,97,179,1309,.423,.464,.382,.844,.548,.519,F,anderry01"
"33,Emeka Okafor,6.5,6.5,2010-11,28,NOH,72,72,2287,300,524,300,523,0,1,145,258,230,454,684,42,40,127,119,230,745,.573,.574,.000,.562,.584,.573,C-F,okafoem01"
"34,Anthony Davis,6.1,6.1,2012-13,19,NOH,64,60,1846,349,676,349,670,0,6,169,225,165,357,522,63,75,112,89,158,867,.516,.521,.000,.751,.559,.516,F-C,davisan02"
"35,Julius Randle,6.1,6.1,2018-19,24,NOP,73,49,2232,571,1089,504,894,67,195,356,487,162,472,634,229,52,45,208,246,1565,.524,.564,.344,.731,.600,.555,F-C,randlju01"
"36,Robin Lopez,5.6,5.6,2012-13,24,NOH,82,82,2136,384,719,384,719,0,0,161,207,226,236,462,64,32,128,110,167,929,.534,.534,,.778,.573,.534,C,lopezro01"
"37,Emeka Okafor,5.5,5.5,2009-10,27,NOH,82,82,2370,348,656,348,656,0,0,154,274,251,491,742,55,54,127,111,218,850,.530,.530,,.562,.547,.530,C-F,okafoem01"
"38,Jrue Holiday,5.4,5.4,2018-19,28,NOP,67,67,2402,547,1159,429,796,118,363,208,271,75,259,334,518,109,54,210,148,1420,.472,.539,.325,.768,.555,.523,G,holidjr01"
"39,Darrell Armstrong,5.3,5.3,2003-04,35,NOH,79,22,2247,291,736,156,307,135,429,123,144,63,163,226,311,133,16,155,148,840,.395,.508,.315,.854,.525,.487,G,armstda01"
"40,Brandon Ingram,5.3,5.3,2020-21,23,NOP,61,61,2093,513,1101,370,726,143,375,281,320,34,265,299,296,42,36,154,124,1450,.466,.510,.381,.878,.584,.531,F,ingrabr01"
"41,David West,5.2,5.2,2006-07,26,NOK,52,52,1900,377,792,369,767,8,25,187,227,126,298,424,114,42,38,98,143,949,.476,.481,.320,.824,.532,.481,F-C,westda01"
"42,Jaxson Hayes,5.1,5.1,2021-22,21,NOP,70,28,1398,245,398,225,341,20,57,144,188,115,200,315,43,33,55,54,155,654,.616,.660,.351,.766,.680,.641,F,hayesja02"
"43,Brandon Ingram,5.1,5.1,2019-20,22,NOP,62,62,2104,507,1096,357,712,150,384,313,368,51,329,380,259,61,38,189,179,1477,.463,.501,.391,.851,.587,.531,F,ingrabr01"
"44,Ömer Aşık,5.0,5.0,2014-15,28,NOP,76,76,1982,213,412,213,412,0,0,131,225,244,504,748,72,29,54,95,144,557,.517,.517,,.582,.545,.517,C,asikom01"
"45,DeMarcus Cousins,4.7,4.7,2017-18,27,NOP,48,48,1737,406,864,302,570,104,294,294,394,105,512,617,257,79,76,242,183,1210,.470,.530,.354,.746,.583,.530,C-F,couside01"
"46,Herbert Jones,4.6,4.6,2021-22,23,NOP,78,69,2335,274,576,217,407,57,169,137,163,98,198,296,167,130,60,100,238,742,.476,.533,.337,.840,.573,.525,F,joneshe01"
"47,Tyreke Evans,4.6,4.6,2014-15,25,NOP,79,76,2690,521,1165,452,938,69,227,202,291,82,334,416,521,100,37,246,198,1313,.447,.482,.304,.694,.508,.477,G-F,evansty01"
"48,Rasual Butler,4.6,4.6,2008-09,29,NOH,82,74,2614,348,803,208,444,140,359,86,110,49,222,271,75,51,61,59,159,922,.433,.468,.390,.782,.541,.521,F-G,butlera01"
"49,Chris Andersen,4.5,4.5,2004-05,26,NOH,67,2,1430,191,358,191,355,0,3,131,190,137,273,410,71,14,100,64,144,513,.534,.538,.000,.689,.581,.534,C-F,anderch01"
"50,Baron Davis,4.5,4.5,2002-03,23,NOH,50,47,1889,332,798,233,515,99,283,93,131,56,130,186,320,91,22,140,148,856,.416,.452,.350,.710,.500,.478,G,davisba01"
"51,E'Twaun Moore,4.4,4.4,2017-18,28,NOP,82,80,2586,423,832,295,531,128,301,48,68,57,181,238,187,79,12,102,182,1022,.508,.556,.425,.706,.593,.585,G-F,mooreet01"
"52,P.J. Brown,4.4,4.4,2005-06,36,NOK,75,73,2380,269,583,269,583,0,0,139,168,182,365,547,90,46,50,90,216,677,.461,.461,,.827,.515,.461,F-C,brownpj01"
"53,James Posey,4.2,4.2,2008-09,32,NOH,75,0,2140,216,524,100,210,116,314,120,146,38,324,362,82,58,21,79,216,668,.412,.476,.369,.822,.568,.523,F-G,poseyja01"
"54,Derrick Favors,4.2,4.2,2019-20,28,NOP,51,49,1243,209,339,208,332,1,7,40,71,163,338,501,81,30,46,55,107,459,.617,.627,.143,.563,.620,.618,F-C,favorde01"
"55,J.J. Redick,4.1,4.1,2019-20,35,NOP,60,36,1581,286,631,106,234,180,397,165,185,10,141,151,119,20,10,75,96,917,.453,.453,.453,.892,.644,.596,G,redicjj01"
"56,Marcus Thornton,4.0,4.0,2009-10,22,NOH,73,17,1872,398,883,281,570,117,313,144,177,72,139,211,114,58,11,76,127,1057,.451,.493,.374,.814,.550,.517,G,thornma01"
"57,Steven Adams,4.0,4.0,2020-21,27,NOP,58,58,1605,189,308,189,305,0,3,60,135,213,301,514,111,54,38,78,113,438,.614,.620,.000,.444,.596,.614,C,adamsst01"
"58,Jrue Holiday,3.9,3.9,2019-20,29,NOP,61,61,2117,458,1006,336,660,122,346,129,182,77,216,293,408,99,48,184,145,1167,.455,.509,.353,.709,.537,.516,G,holidjr01"
