"1,Chauncey Billups,15.5,15.5,2005-06,29,DET,81,81,2925,423,1012,239,587,184,425,465,520,41,211,252,699,71,8,170,160,1495,.418,.407,.433,.894,.602,.509,G,billuch01"
"2,Grant Hill,14.6,14.6,1996-97,24,DET,80,80,3147,625,1259,615,1226,10,33,450,633,123,598,721,583,144,48,259,186,1710,.496,.502,.303,.711,.556,.500,F-G,hillgr01"
"3,Bob Lanier,14.4,14.4,1973-74,25,DET,81,,3047,748,1483,748,1483,,,326,409,269,805,1074,343,110,247,,273,1822,.504,.504,,.797,.548,.504,C,laniebo01"
"4,Bailey Howell,14.0,14.0,1962-63,26,DET,79,,2971,637,1235,637,1235,,,519,650,,,910,232,,,,300,1793,.516,.516,,.798,.589,.516,F,howelba01"
"5,Chauncey Billups,13.5,13.5,2007-08,31,DET,78,78,2522,393,877,256,535,137,342,401,437,42,170,212,529,101,17,160,130,1324,.448,.479,.401,.918,.619,.526,G,billuch01"
"6,Larry Foust,13.3,13.3,1954-55,26,FTW,70,,2264,398,818,398,818,,,393,513,,,700,118,,,,264,1189,.487,.487,,.766,.570,.487,C-F,foustla01"
"7,Dennis Rodman,12.6,12.6,1991-92,30,DET,82,80,3301,342,635,310,534,32,101,84,140,523,1007,1530,191,68,70,140,248,800,.539,.581,.317,.600,.574,.564,F,rodmade01"
"8,Bob Lanier,12.4,12.4,1974-75,26,DET,76,,2987,731,1433,731,1433,,,361,450,225,689,914,350,75,172,,237,1823,.510,.510,,.802,.559,.510,C,laniebo01"
"9,George Yardley,12.3,12.3,1957-58,29,DET,72,,2843,673,1624,673,1624,,,655,808,,,768,97,,,,226,2001,.414,.414,,.811,.505,.414,F-G,yardlge01"
"10,Chauncey Billups,12.1,12.1,2004-05,28,DET,80,80,2866,404,913,239,526,165,387,343,382,48,223,271,464,81,9,180,194,1316,.442,.454,.426,.898,.609,.533,G,billuch01"
"11,Bailey Howell,11.7,11.7,1960-61,24,DET,77,,2952,607,1293,607,1293,,,601,798,,,1111,196,,,,297,1815,.469,.469,,.753,.552,.469,F,howelba01"
"12,Dave Bing,11.7,11.7,1970-71,27,DET,82,,3065,799,1710,799,1710,,,615,772,,,364,408,,,,228,2213,.467,.467,,.797,.540,.467,G,bingda01"
"13,Grant Hill,11.7,11.7,1995-96,23,DET,80,80,3260,564,1221,559,1195,5,26,485,646,127,656,783,548,100,48,263,242,1618,.462,.468,.192,.751,.537,.464,F-G,hillgr01"
"14,Ben Wallace,11.6,11.6,2001-02,27,DET,80,80,2921,255,480,255,477,0,3,99,234,318,721,1039,115,138,278,70,178,609,.531,.535,.000,.423,.522,.531,F-C,wallabe01"
"15,Chauncey Billups,11.4,11.4,2006-07,30,DET,70,70,2533,348,815,239,499,109,316,386,437,23,214,237,502,84,17,140,161,1191,.427,.479,.345,.883,.591,.494,G,billuch01"
"16,Chauncey Billups,11.3,11.3,2003-04,27,DET,78,78,2758,392,996,262,661,130,335,404,460,35,241,276,446,84,8,189,177,1318,.394,.396,.388,.878,.550,.459,G,billuch01"
"17,Isiah Thomas,11.2,11.2,1984-85,23,DET,81,81,3089,646,1410,617,1297,29,113,399,493,114,247,361,1123,187,25,302,288,1720,.458,.476,.257,.809,.529,.468,G,thomais01"
"18,Larry Foust,11.1,11.1,1955-56,27,FTW,72,,2024,367,821,367,821,,,432,555,,,648,127,,,,263,1166,.447,.447,,.778,.547,.447,C-F,foustla01"
"19,Bill Laimbeer,10.8,10.8,1983-84,26,DET,82,82,2864,553,1044,553,1033,0,11,316,365,329,674,1003,149,49,84,151,273,1422,.530,.535,.000,.866,.590,.530,C,laimbbi01"
"20,Grant Hill,10.7,10.7,1999-00,27,DET,74,74,2776,696,1422,662,1324,34,98,480,604,97,393,490,385,103,43,240,190,1906,.489,.500,.347,.795,.565,.501,F-G,hillgr01"
"21,Bailey Howell,10.7,10.7,1961-62,25,DET,79,,2857,553,1193,553,1193,,,470,612,,,996,186,,,,317,1576,.464,.464,,.768,.539,.464,F,howelba01"
"22,Bob Lanier,10.6,10.6,1972-73,24,DET,81,,3150,810,1654,810,1654,,,307,397,,,1205,260,,,,278,1927,.490,.490,,.773,.527,.490,C,laniebo01"
"23,Ben Wallace,10.6,10.6,2002-03,28,DET,73,73,2873,210,437,209,431,1,6,85,189,293,833,1126,120,104,230,88,179,506,.481,.485,.167,.450,.486,.482,F-C,wallabe01"
"24,Bill Laimbeer,10.5,10.5,1986-87,29,DET,82,82,2854,506,1010,500,989,6,21,245,274,243,712,955,151,72,69,120,283,1263,.501,.506,.286,.894,.559,.504,C,laimbbi01"
"25,Larry Foust,10.4,10.4,1953-54,25,FTW,72,,2693,376,919,376,919,,,338,475,,,967,161,,,,258,1090,.409,.409,,.712,.483,.409,C-F,foustla01"
"26,Bob Lanier,10.3,10.3,1976-77,28,DET,64,,2446,678,1269,678,1269,,,260,318,200,545,745,214,70,126,,174,1616,.534,.534,,.818,.573,.534,C,laniebo01"
"27,Andre Drummond,10.3,10.3,2017-18,24,DET,78,78,2625,466,881,466,870,0,11,239,395,399,848,1247,237,114,127,200,250,1171,.529,.536,.000,.605,.555,.529,C,drumman01"
"28,Adrian Dantley,10.3,10.3,1986-87,31,DET,81,81,2736,601,1126,600,1120,1,6,539,664,104,228,332,162,63,7,181,193,1742,.534,.536,.167,.812,.614,.534,F-G,dantlad01"
"29,Terry Dischinger,10.3,10.3,1964-65,24,DET,80,,2698,568,1153,568,1153,,,320,424,,,479,198,,,,253,1456,.493,.493,,.755,.543,.493,F-G,dischte01"
"30,Grant Hill,10.2,10.2,1997-98,25,DET,81,81,3294,615,1361,612,1340,3,21,479,647,93,530,623,551,143,53,285,196,1712,.452,.457,.143,.740,.520,.453,F-G,hillgr01"
"31,Ben Wallace,10.2,10.2,2003-04,29,DET,81,81,3050,315,748,314,740,1,8,142,290,324,682,1006,138,143,246,123,162,773,.421,.424,.125,.490,.441,.422,F-C,wallabe01"
"32,Bill Laimbeer,10.1,10.1,1989-90,32,DET,81,81,2675,380,785,323,627,57,158,164,192,166,614,780,171,57,84,98,278,981,.484,.515,.361,.854,.564,.520,C,laimbbi01"
"33,Ben Wallace,10.1,10.1,2005-06,31,DET,82,82,2890,237,465,237,461,0,4,123,296,301,622,923,158,146,181,88,164,597,.510,.514,.000,.416,.501,.510,F-C,wallabe01"
"34,Bob Lanier,10.1,10.1,1975-76,27,DET,64,,2363,541,1017,541,1017,,,284,370,217,529,746,217,79,86,,203,1366,.532,.532,,.768,.579,.532,C,laniebo01"
"35,Bob Lanier,10.1,10.1,1977-78,29,DET,63,,2311,622,1159,622,1159,,,298,386,197,518,715,216,82,93,225,185,1542,.537,.537,,.772,.580,.537,C,laniebo01"
"36,George Yardley,10.0,10.0,1956-57,28,FTW,72,,2691,522,1273,522,1273,,,503,639,,,755,147,,,,231,1547,.410,.410,,.787,.498,.410,F-G,yardlge01"
"37,Andre Drummond,10.0,10.0,2018-19,25,DET,79,79,2647,561,1052,556,1014,5,38,243,412,423,809,1232,112,136,138,175,272,1370,.533,.548,.132,.590,.555,.536,C,drumman01"
"38,Andre Drummond,9.9,9.9,2013-14,20,DET,81,81,2619,479,769,479,767,0,2,137,328,440,631,1071,35,101,131,110,273,1095,.623,.625,.000,.418,.599,.623,C,drumman01"
"39,Chauncey Billups,9.9,9.9,2002-03,26,DET,74,74,2327,366,870,217,490,149,380,318,362,38,235,273,287,63,15,134,136,1199,.421,.443,.392,.878,.582,.506,G,billuch01"
"40,Joe Dumars,9.9,9.9,1990-91,27,DET,80,80,3046,622,1292,608,1247,14,45,371,417,62,125,187,443,89,7,189,135,1629,.481,.488,.311,.890,.552,.487,G,dumarjo01"
"41,Bailey Howell,9.8,9.8,1963-64,27,DET,77,,2700,598,1267,598,1267,,,470,581,,,776,205,,,,290,1666,.472,.472,,.809,.547,.472,F,howelba01"
"42,Bill Laimbeer,9.8,9.8,1984-85,27,DET,82,82,2892,595,1177,591,1159,4,18,244,306,295,718,1013,154,69,71,129,308,1438,.506,.510,.222,.797,.548,.507,C,laimbbi01"
"43,Tayshaun Prince,9.4,9.4,2004-05,24,DET,82,82,3039,469,963,422,825,47,138,221,274,133,302,435,247,56,71,135,161,1206,.487,.512,.341,.807,.556,.511,F,princta01"
"44,Adrian Dantley,9.4,9.4,1987-88,32,DET,69,50,2144,444,863,444,861,0,2,492,572,84,143,227,171,39,10,135,144,1380,.514,.516,.000,.860,.619,.514,F-G,dantlad01"
"45,Dennis Rodman,9.3,9.3,1989-90,28,DET,82,43,2377,288,496,287,487,1,9,142,217,336,456,792,72,52,60,90,276,719,.581,.589,.111,.654,.608,.582,F,rodmade01"
"46,Bill Laimbeer,9.2,9.2,1985-86,28,DET,82,82,2891,545,1107,541,1093,4,14,266,319,305,770,1075,146,59,65,133,291,1360,.492,.495,.286,.834,.545,.494,C,laimbbi01"
"47,Jerry Stackhouse,9.2,9.2,2000-01,26,DET,80,80,3215,774,1927,608,1454,166,473,666,810,99,216,315,410,97,54,326,160,2380,.402,.418,.351,.822,.521,.445,G-F,stackje01"
"48,Joe Dumars,9.1,9.1,1992-93,29,DET,77,77,3094,677,1454,565,1155,112,299,343,397,63,85,148,308,78,7,138,141,1809,.466,.489,.375,.864,.555,.504,G,dumarjo01"
"49,Isiah Thomas,9.1,9.1,1983-84,22,DET,82,82,3007,669,1448,647,1383,22,65,388,529,103,224,327,914,204,33,307,324,1748,.462,.468,.338,.733,.520,.470,G,thomais01"
"50,Bill Laimbeer,9.0,9.0,1988-89,31,DET,81,81,2640,449,900,419,814,30,86,178,212,138,638,776,177,51,100,129,259,1106,.499,.515,.349,.840,.557,.516,C,laimbbi01"
"51,Rasheed Wallace,8.9,8.9,2005-06,31,DET,80,80,2780,459,1067,304,633,155,434,136,183,90,457,547,182,82,130,85,232,1209,.430,.480,.357,.743,.527,.503,F-C,wallara01"
"52,Isiah Thomas,8.8,8.8,1985-86,24,DET,77,77,2790,609,1248,583,1164,26,84,365,462,83,194,277,830,171,20,289,245,1609,.488,.501,.310,.790,.554,.498,G,thomais01"
"53,Joe Dumars,8.8,8.8,1996-97,33,DET,79,79,2923,385,875,219,491,166,384,222,256,38,153,191,318,57,1,128,97,1158,.440,.446,.432,.867,.586,.535,G,dumarjo01"
"54,Bill Laimbeer,8.8,8.8,1987-88,30,DET,82,82,2897,455,923,442,884,13,39,187,214,165,667,832,199,66,78,136,284,1110,.493,.500,.333,.874,.546,.500,C,laimbbi01"
"55,Joe Dumars,8.7,8.7,1989-90,26,DET,75,71,2578,508,1058,486,1003,22,55,297,330,60,152,212,368,63,2,145,129,1335,.480,.485,.400,.900,.555,.491,G,dumarjo01"
"56,Dennis Rodman,8.7,8.7,1990-91,29,DET,82,77,2747,276,560,270,530,6,30,111,176,361,665,1026,85,65,55,94,281,669,.493,.509,.200,.631,.525,.498,F,rodmade01"
"57,Dave Bing,8.6,8.6,1972-73,29,DET,82,,3361,692,1545,692,1545,,,456,560,,,298,637,,,,229,1840,.448,.448,,.814,.514,.448,G,bingda01"
"58,Ben Wallace,8.5,8.5,2004-05,30,DET,74,74,2671,295,651,294,642,1,9,130,304,292,610,902,123,106,176,82,159,721,.453,.458,.111,.428,.459,.454,F-C,wallabe01"
"59,Bill Laimbeer,8.5,8.5,1982-83,25,DET,82,82,2871,436,877,434,864,2,13,245,310,282,711,993,263,51,118,176,320,1119,.497,.502,.154,.790,.552,.498,C,laimbbi01"
"60,Fred Schaus,8.5,8.5,1950-51,25,FTW,68,,,312,918,312,918,,,404,484,,,495,184,,,,240,1028,.340,.340,,.835,.454,.340,F,schaufr01"
"61,Gene Shue,8.5,8.5,1959-60,28,DET,75,,3338,620,1501,620,1501,,,472,541,,,409,295,,,,146,1712,.413,.413,,.872,.492,.413,G,shuege01"
"62,Fred Schaus,8.4,8.4,1949-50,24,FTW,68,,,351,996,351,996,,,270,330,,,,176,,,,232,972,.352,.352,,.818,.426,.352,F,schaufr01"
"63,Bob Lanier,8.4,8.4,1971-72,23,DET,80,,3092,834,1690,834,1690,,,388,505,,,1132,248,,,,297,2056,.493,.493,,.768,.538,.493,C,laniebo01"
"64,Curtis Rowe,8.3,8.3,1972-73,23,DET,81,,3009,547,1053,547,1053,,,210,327,,,760,172,,,,191,1304,.519,.519,,.642,.545,.519,F,rowecu01"
"65,Joe Dumars,8.2,8.2,1991-92,28,DET,82,82,3192,587,1311,538,1191,49,120,412,475,82,106,188,375,71,12,193,145,1635,.448,.452,.408,.867,.538,.466,G,dumarjo01"
"66,Richard Hamilton,8.1,8.1,2003-04,25,DET,78,78,2772,530,1166,512,1098,18,68,297,342,78,201,279,310,103,17,210,222,1375,.455,.466,.265,.868,.522,.462,G-F,hamilri01"
"67,Richard Hamilton,8.1,8.1,2006-07,28,DET,75,75,2763,547,1170,503,1041,44,129,347,403,75,207,282,285,59,15,159,232,1485,.468,.483,.341,.861,.551,.486,G-F,hamilri01"
"68,Dennis Rodman,8.1,8.1,1988-89,27,DET,82,8,2208,316,531,310,505,6,26,97,155,327,445,772,99,55,76,126,292,735,.595,.614,.231,.626,.613,.601,F,rodmade01"
"69,Blake Griffin,8.0,8.0,2018-19,29,DET,75,75,2622,619,1341,430,819,189,522,414,550,100,465,565,402,52,28,253,199,1841,.462,.525,.362,.753,.581,.532,F,griffbl01"
"70,Bill Laimbeer,8.0,8.0,1990-91,33,DET,82,81,2668,372,778,335,653,37,125,123,147,173,564,737,157,38,56,98,242,904,.478,.513,.296,.837,.536,.502,C,laimbbi01"
"71,Tayshaun Prince,8.0,8.0,2006-07,26,DET,82,82,3001,459,997,378,787,81,210,172,224,144,285,429,227,51,55,98,116,1171,.460,.480,.386,.768,.534,.501,F,princta01"
"72,Otis Thorpe,7.9,7.9,1996-97,34,DET,79,79,2661,419,787,419,785,0,2,198,303,226,396,622,133,59,17,145,298,1036,.532,.534,.000,.653,.563,.532,F-C,thorpot01"
"73,M.L. Carr,7.9,7.9,1978-79,28,DET,80,,3207,587,1143,587,1143,,,323,435,219,370,589,262,197,46,255,279,1497,.514,.514,,.743,.561,.514,F-G,carrml01"
"74,Vinnie Johnson,7.7,7.7,1982-83,26,DET,82,51,2511,520,1013,509,973,11,40,245,315,167,186,353,301,93,49,152,263,1296,.513,.523,.275,.778,.563,.519,G,johnsvi01"
"75,Richard Hamilton,7.7,7.7,2007-08,29,DET,72,72,2424,499,1030,437,889,62,141,184,221,75,160,235,299,73,10,132,171,1244,.484,.492,.440,.833,.552,.515,G-F,hamilri01"
"76,Andre Drummond,7.7,7.7,2014-15,21,DET,82,82,2502,494,961,494,959,0,2,142,365,437,667,1104,55,73,153,120,285,1130,.514,.515,.000,.389,.504,.514,C,drumman01"
"77,Richard Hamilton,7.6,7.6,2005-06,27,DET,80,80,2825,649,1322,594,1202,55,120,256,303,84,172,256,275,52,16,173,207,1609,.491,.494,.458,.845,.553,.512,G-F,hamilri01"
"78,Bailey Howell,7.6,7.6,1959-60,23,DET,75,,2346,510,1119,510,1119,,,312,422,,,790,63,,,,282,1332,.456,.456,,.739,.510,.456,F,howelba01"
"79,Jerome Williams,7.6,7.6,1999-00,26,DET,82,1,2102,257,456,257,453,0,3,175,284,277,512,789,68,95,21,105,196,689,.564,.567,.000,.616,.593,.564,F,willije01"
"80,George Yardley,7.6,7.6,1954-55,26,FTW,60,,2150,363,869,363,869,,,310,416,,,594,126,,,,205,1036,.418,.418,,.745,.492,.418,F-G,yardlge01"
"81,Otis Thorpe,7.6,7.6,1995-96,33,DET,82,82,2841,452,853,452,849,0,4,257,362,211,477,688,158,53,39,195,300,1161,.530,.532,.000,.710,.573,.530,F-C,thorpot01"
"82,Rasheed Wallace,7.6,7.6,2007-08,33,DET,77,76,2346,376,870,264,555,112,315,115,150,84,427,511,137,91,129,86,213,979,.432,.476,.356,.767,.523,.497,F-C,wallara01"
"83,Isiah Thomas,7.6,7.6,1986-87,25,DET,81,81,3013,626,1353,607,1255,19,98,400,521,82,237,319,813,153,20,343,251,1671,.463,.484,.194,.768,.528,.470,G,thomais01"
