"1,David Robinson,20.0,20.0,1993-94,28,SAS,80,80,3241,840,1658,830,1629,10,29,693,925,241,614,855,381,139,265,253,228,2383,.507,.510,.345,.749,.577,.510,C,robinda01"
"2,David Robinson,18.3,18.3,1995-96,30,SAS,82,82,3019,711,1378,708,1369,3,9,626,823,319,681,1000,247,111,271,190,262,2051,.516,.517,.333,.761,.589,.517,C,robinda01"
"3,Tim Duncan,17.8,17.8,2001-02,25,SAS,82,82,3329,764,1504,763,1494,1,10,560,701,268,774,1042,307,61,203,263,217,2089,.508,.511,.100,.799,.576,.508,F-C,duncati01"
"4,David Robinson,17.5,17.5,1994-95,29,SAS,81,81,3074,788,1487,782,1467,6,20,656,847,234,643,877,236,134,262,233,230,2238,.530,.533,.300,.774,.602,.532,C,robinda01"
"5,David Robinson,17.0,17.0,1990-91,25,SAS,82,81,3095,754,1366,753,1359,1,7,592,777,335,728,1063,208,127,320,270,264,2101,.552,.554,.143,.762,.615,.552,C,robinda01"
"6,Tim Duncan,16.5,16.5,2002-03,26,SAS,81,81,3181,714,1392,708,1370,6,22,450,634,259,784,1043,316,55,237,248,231,1884,.513,.517,.273,.710,.564,.515,F-C,duncati01"
"7,David Robinson,15.1,15.1,1989-90,24,SAS,82,81,3002,690,1300,690,1298,0,2,613,837,303,680,983,164,138,319,257,259,1993,.531,.532,.000,.732,.597,.531,C,robinda01"
"8,David Robinson,13.9,13.9,1991-92,26,SAS,68,68,2564,592,1074,591,1066,1,8,393,561,261,568,829,181,158,305,182,219,1578,.551,.554,.125,.701,.597,.552,C,robinda01"
"9,David Robinson,13.8,13.8,1997-98,32,SAS,73,73,2457,544,1065,543,1061,1,4,485,660,239,536,775,199,64,192,202,204,1574,.511,.512,.250,.735,.581,.511,C,robinda01"
"10,Kawhi Leonard,13.7,13.7,2015-16,24,SAS,72,72,2380,551,1090,422,799,129,291,292,334,95,398,493,186,128,71,105,133,1523,.506,.528,.443,.874,.616,.565,F,leonaka01"
