"1,Amar'e Stoudemire,14.6,14.6,2007-08,25,PHO,79,79,2677,714,1211,709,1180,5,31,556,691,178,541,719,118,64,163,174,294,1989,.590,.601,.161,.805,.656,.592,F-C,stoudam01"
"2,Amar'e Stoudemire,14.6,14.6,2004-05,22,PHO,80,80,2889,747,1336,744,1320,3,16,583,795,219,494,713,131,77,130,189,278,2080,.559,.564,.188,.733,.617,.560,F-C,stoudam01"
"3,Shawn Marion,14.6,14.6,2005-06,27,PHO,81,81,3263,716,1365,620,1075,96,290,241,298,249,710,959,143,160,137,125,223,1769,.525,.577,.331,.809,.591,.560,F,mariosh01"
"4,Charles Barkley,14.4,14.4,1992-93,29,PHO,76,76,2859,716,1376,649,1156,67,220,445,582,237,691,928,385,119,74,233,196,1944,.520,.561,.305,.765,.596,.545,F,barklch01"
"5,Shawn Marion,13.0,13.0,2002-03,24,PHO,81,81,3373,662,1466,521,1102,141,364,251,295,199,574,773,198,185,95,157,208,1716,.452,.473,.387,.851,.538,.500,F,mariosh01"
"6,Kevin Johnson,12.7,12.7,1990-91,24,PHO,77,76,2772,591,1145,582,1101,9,44,519,616,54,217,271,781,163,11,269,174,1710,.516,.529,.205,.843,.604,.520,G,johnske02"
"7,Steve Nash,12.6,12.6,2006-07,32,PHO,76,76,2682,517,971,361,628,156,343,222,247,30,239,269,884,57,6,287,117,1412,.532,.575,.455,.899,.654,.613,G,nashst01"
"8,Shawn Marion,12.5,12.5,2004-05,26,PHO,81,81,3146,613,1289,499,948,114,341,229,275,235,680,915,154,163,119,125,199,1569,.476,.526,.334,.833,.556,.520,F,mariosh01"
"9,Steve Nash,12.4,12.4,2005-06,31,PHO,79,79,2796,541,1056,391,714,150,342,257,279,47,286,333,826,61,12,276,120,1489,.512,.548,.439,.921,.632,.583,G,nashst01"
"10,Kevin Johnson,12.2,12.2,1988-89,22,PHO,81,81,3179,570,1128,568,1106,2,22,508,576,46,294,340,991,135,24,322,226,1650,.505,.514,.091,.882,.597,.506,G,johnske02"
"11,Shawn Marion,12.0,12.0,2006-07,28,PHO,80,80,3010,561,1071,481,819,80,252,201,248,172,613,785,134,156,122,114,216,1403,.524,.587,.317,.810,.594,.561,F,mariosh01"
"12,Shawn Marion,11.7,11.7,2000-01,22,PHO,79,79,2857,557,1160,536,1078,21,82,234,289,220,628,848,160,132,108,129,211,1369,.480,.497,.256,.810,.532,.489,F,mariosh01"
"13,Kevin Johnson,11.7,11.7,1996-97,30,PHO,70,70,2658,441,890,352,688,89,202,439,515,54,199,253,653,102,12,217,141,1410,.496,.512,.441,.852,.631,.546,G,johnske02"
"14,Kevin Johnson,11.6,11.6,1989-90,23,PHO,74,74,2782,578,1159,570,1118,8,41,501,598,42,228,270,846,95,14,263,143,1665,.499,.510,.195,.838,.585,.502,G,johnske02"
"15,Jeff Hornacek,11.6,11.6,1991-92,28,PHO,81,81,3078,635,1240,552,1051,83,189,279,315,106,301,407,411,158,31,170,218,1632,.512,.525,.439,.886,.592,.546,G,hornaje01"
"16,Amar'e Stoudemire,11.2,11.2,2006-07,24,PHO,82,78,2689,607,1055,607,1052,0,3,457,585,222,564,786,84,78,110,232,295,1671,.575,.577,.000,.781,.637,.575,F-C,stoudam01"
"17,Tom Chambers,11.2,11.2,1989-90,30,PHO,81,81,3046,810,1617,786,1531,24,86,557,647,121,450,571,190,88,47,218,260,2201,.501,.513,.279,.861,.579,.508,F-C,chambto01"
"18,Paul Silas,11.0,11.0,1971-72,28,PHO,80,,3082,485,1031,485,1031,,,433,560,,,955,343,,,,201,1403,.470,.470,,.773,.549,.470,F-C,silaspa01"
"19,Steve Nash,10.9,10.9,2004-05,30,PHO,75,75,2573,430,857,336,639,94,218,211,238,57,192,249,861,74,6,245,136,1165,.502,.526,.431,.887,.606,.557,G,nashst01"
"20,Amar'e Stoudemire,10.7,10.7,2009-10,27,PHO,82,82,2838,704,1264,703,1258,1,6,487,632,230,502,732,82,52,83,213,281,1896,.557,.559,.167,.771,.615,.557,F-C,stoudam01"
"21,Charles Barkley,10.6,10.6,1994-95,31,PHO,68,66,2382,554,1141,480,922,74,219,379,507,203,553,756,276,110,45,150,201,1561,.486,.521,.338,.748,.572,.518,F,barklch01"
"22,Paul Westphal,10.5,10.5,1979-80,29,PHO,82,,2665,692,1317,666,1224,26,93,382,443,46,141,187,416,119,35,207,162,1792,.525,.544,.280,.862,.593,.535,G,westppa01"
"23,Charles Barkley,10.5,10.5,1995-96,32,PHO,71,71,2632,580,1160,531,985,49,175,440,566,243,578,821,262,114,56,218,208,1649,.500,.539,.280,.777,.585,.521,F,barklch01"
"24,Steve Nash,10.5,10.5,2007-08,33,PHO,81,81,2780,485,962,306,581,179,381,222,245,28,254,282,898,53,5,295,113,1371,.504,.527,.470,.906,.641,.597,G,nashst01"
"25,Larry Nance,10.5,10.5,1982-83,23,PHO,82,82,2914,588,1069,587,1066,1,3,193,287,239,471,710,197,99,217,190,254,1370,.550,.551,.333,.672,.573,.551,F-C,nancela01"
"26,Paul Westphal,10.4,10.4,1978-79,28,PHO,81,,2641,801,1496,801,1496,,,339,405,35,124,159,529,111,26,232,159,1941,.535,.535,,.837,.580,.535,G,westppa01"
"27,Dick Van Arsdale,10.4,10.4,1971-72,28,PHO,82,,3096,545,1178,545,1178,,,529,626,,,334,297,,,,232,1619,.463,.463,,.845,.557,.463,G-F,vanardi01"
"28,Goran Dragić,10.3,10.3,2013-14,27,PHO,76,75,2668,552,1093,430,794,122,299,316,416,69,176,245,447,104,22,213,206,1542,.505,.542,.408,.760,.604,.561,G,dragigo01"
"29,Dick Van Arsdale,10.2,10.2,1970-71,27,PHO,81,,3157,609,1346,609,1346,,,553,682,,,316,329,,,,246,1771,.452,.452,,.811,.538,.452,G-F,vanardi01"
"30,Larry Nance,10.2,10.2,1986-87,27,PHO,69,67,2569,585,1062,584,1057,1,5,381,493,188,411,599,233,86,148,149,223,1552,.551,.553,.200,.773,.607,.551,F-C,nancela01"
"31,Connie Hawkins,10.2,10.2,1969-70,27,PHO,81,,3312,709,1447,709,1447,,,577,741,,,846,391,,,,287,1995,.490,.490,,.779,.563,.490,F-C,hawkico01"
"32,Walter Davis,10.1,10.1,1977-78,23,PHO,81,,2590,786,1494,786,1494,,,387,466,158,326,484,273,113,20,283,242,1959,.526,.526,,.830,.577,.526,G-F,daviswa03"
"33,Kevin Johnson,10.0,10.0,1991-92,25,PHO,78,78,2899,539,1125,529,1079,10,46,448,555,61,231,292,836,116,23,272,180,1536,.479,.490,.217,.807,.561,.484,G,johnske02"
"34,Steve Nash,9.9,9.9,2009-10,35,PHO,81,81,2660,499,985,375,694,124,291,211,225,34,234,268,892,42,12,295,108,1333,.507,.540,.426,.938,.615,.570,G,nashst01"
"35,Larry Nance,9.8,9.8,1983-84,24,PHO,82,82,2899,601,1044,601,1037,0,7,249,352,227,451,678,214,86,174,177,274,1451,.576,.580,.000,.707,.605,.576,F-C,nancela01"
"36,Paul Westphal,9.8,9.8,1977-78,27,PHO,80,,2481,809,1568,809,1568,,,396,487,41,123,164,437,138,31,280,162,2014,.516,.516,,.813,.565,.516,G,westppa01"
"37,Dan Majerle,9.8,9.8,1991-92,26,PHO,82,15,2853,551,1153,464,925,87,228,229,303,148,335,483,274,131,43,102,158,1418,.478,.502,.382,.756,.551,.516,G-F,majerda01"
"38,Shawn Marion,9.8,9.8,2001-02,23,PHO,81,81,3109,654,1395,606,1273,48,122,191,226,211,592,803,162,149,86,144,214,1547,.469,.476,.393,.845,.518,.486,F,mariosh01"
"39,Dan Majerle,9.8,9.8,1992-93,27,PHO,82,82,3199,509,1096,342,658,167,438,203,261,120,263,383,311,138,33,133,180,1388,.464,.520,.381,.778,.573,.541,G-F,majerda01"
"40,Jeff Hornacek,9.7,9.7,1990-91,27,PHO,80,77,2733,544,1051,483,905,61,146,201,224,74,247,321,409,111,16,130,185,1350,.518,.534,.418,.897,.587,.547,G,hornaje01"
"41,Paul Westphal,9.6,9.6,1976-77,26,PHO,81,,2600,682,1317,682,1317,,,362,439,57,133,190,459,134,21,,171,1726,.518,.518,,.825,.571,.518,G,westppa01"
"42,Clifford Robinson,9.6,9.6,1999-00,33,PHO,80,67,2839,530,1142,410,818,120,324,298,381,105,254,359,224,90,61,166,239,1478,.464,.501,.370,.782,.564,.517,F-C,robincl02"
"43,Connie Hawkins,9.6,9.6,1971-72,29,PHO,76,,2798,571,1244,571,1244,,,456,565,,,633,296,,,,235,1598,.459,.459,,.807,.535,.459,F-C,hawkico01"
"44,Stephon Marbury,9.6,9.6,2002-03,25,PHO,81,81,3240,671,1530,582,1234,89,296,375,467,53,210,263,654,108,20,263,200,1806,.439,.472,.301,.803,.520,.468,G,marbust01"
"45,Jason Kidd,9.6,9.6,2000-01,27,PHO,77,76,3065,451,1097,382,865,69,232,328,403,91,403,494,753,166,23,286,171,1299,.411,.442,.297,.814,.510,.443,G,kiddja01"
"46,Paul Westphal,9.6,9.6,1975-76,25,PHO,82,,2960,657,1329,657,1329,,,365,440,74,185,259,440,210,38,,218,1679,.494,.494,,.830,.551,.494,G,westppa01"
"47,Antonio McDyess,9.4,9.4,1997-98,23,PHO,81,81,2441,497,927,497,925,0,2,231,329,206,407,613,106,100,135,142,292,1225,.536,.537,.000,.702,.571,.536,F-C,mcdyean01"
"48,Chris Paul,9.4,9.4,2021-22,36,PHO,65,65,2139,363,736,300,537,63,199,169,202,22,261,283,702,121,20,153,134,958,.493,.559,.317,.837,.581,.536,G,paulch01"
"49,Walter Davis,9.4,9.4,1978-79,24,PHO,79,,2437,764,1362,764,1362,,,340,409,111,262,373,339,147,26,293,250,1868,.561,.561,,.831,.606,.561,G-F,daviswa03"
"50,A.C. Green,9.3,9.3,1993-94,30,PHO,82,55,2825,465,926,457,891,8,35,266,362,275,478,753,137,70,38,100,142,1204,.502,.513,.229,.735,.555,.506,F-C,greenac01"
"51,Kyle Macy,9.2,9.2,1981-82,24,PHO,82,72,2845,486,945,447,845,39,100,152,169,78,183,261,384,143,9,125,185,1163,.514,.529,.390,.899,.570,.535,G,macyky01"
"52,Chris Paul,9.2,9.2,2020-21,35,PHO,70,70,2199,439,879,337,621,102,258,169,181,25,287,312,622,99,19,156,166,1149,.499,.543,.395,.934,.599,.557,G,paulch01"
"53,Tom Chambers,9.2,9.2,1988-89,29,PHO,81,81,3002,774,1643,746,1557,28,86,509,598,143,541,684,231,87,55,231,271,2085,.471,.479,.326,.851,.547,.480,F-C,chambto01"
"54,Shawn Marion,9.1,9.1,2003-04,25,PHO,79,79,3217,590,1341,500,1076,90,265,228,268,212,525,737,214,167,104,156,203,1498,.440,.465,.340,.851,.513,.474,F,mariosh01"
"55,Dick Van Arsdale,9.0,9.0,1969-70,26,PHO,77,,2966,592,1166,592,1166,,,459,575,,,264,338,,,,282,1643,.508,.508,,.798,.579,.508,G-F,vanardi01"
"56,Boris Diaw,8.9,8.9,2005-06,23,PHO,81,70,2874,449,853,441,823,8,30,174,238,159,399,558,503,58,85,189,260,1080,.526,.536,.267,.731,.564,.531,F-C,diawbo01"
"57,Mikal Bridges,8.9,8.9,2021-22,25,PHO,82,82,2854,458,858,343,546,115,312,131,157,74,273,347,185,96,36,68,150,1162,.534,.628,.369,.834,.627,.601,F-G,bridgmi01"
"58,Charles Barkley,8.8,8.8,1993-94,30,PHO,65,65,2298,518,1046,470,868,48,178,318,452,198,529,727,296,101,37,206,160,1402,.495,.541,.270,.704,.563,.518,F,barklch01"
"59,Dick Van Arsdale,8.7,8.7,1972-73,29,PHO,81,,2979,532,1118,532,1118,,,426,496,,,326,268,,,,221,1490,.476,.476,,.859,.558,.476,G-F,vanardi01"
"60,Kevin Johnson,8.7,8.7,1993-94,27,PHO,67,67,2449,477,980,471,953,6,27,380,464,55,112,167,637,125,10,235,127,1340,.487,.494,.222,.819,.566,.490,G,johnske02"
"61,Jeff Hornacek,8.7,8.7,1989-90,26,PHO,67,60,2278,483,901,443,803,40,98,173,202,86,227,313,337,117,14,125,144,1179,.536,.552,.408,.856,.596,.558,G,hornaje01"
