"1,Kevin Durant,19.2,19.2,2013-14,25,OKC,81,81,3122,849,1688,657,1197,192,491,703,805,58,540,598,445,103,59,285,174,2593,.503,.549,.391,.873,.635,.560,F-G,duranke01"
"2,Kevin Durant,18.9,18.9,2012-13,24,OKC,81,81,3119,731,1433,592,1099,139,334,679,750,46,594,640,374,116,105,280,143,2280,.510,.539,.416,.905,.647,.559,F-G,duranke01"
"3,Kevin Durant,16.1,16.1,2009-10,21,OKC,82,82,3239,794,1668,666,1317,128,351,756,840,105,518,623,231,112,84,271,171,2472,.476,.506,.365,.900,.607,.514,F-G,duranke01"
"4,Kevin Durant,14.5,14.5,2015-16,27,OKC,72,72,2578,698,1381,512,900,186,481,447,498,45,544,589,361,69,85,250,137,2029,.505,.569,.387,.898,.634,.573,F-G,duranke01"
"5,Russell Westbrook,14.0,14.0,2015-16,27,OKC,80,80,2750,656,1444,555,1103,101,341,465,573,145,481,626,834,163,20,342,200,1878,.454,.503,.296,.812,.554,.489,G,westbru01"
"6,Gary Payton,13.9,13.9,1999-00,31,SEA,82,82,3425,747,1666,570,1146,177,520,311,423,100,429,529,732,153,18,224,178,1982,.448,.497,.340,.735,.535,.502,G,paytoga01"
"7,Russell Westbrook,13.1,13.1,2016-17,28,OKC,81,81,2802,824,1941,624,1358,200,583,710,840,137,727,864,840,132,31,438,190,2558,.425,.459,.343,.845,.554,.476,G,westbru01"
"8,Gary Payton,12.9,12.9,1996-97,28,SEA,82,82,3213,706,1482,587,1102,119,380,254,355,106,272,378,583,197,13,215,208,1785,.476,.533,.313,.715,.545,.517,G,paytoga01"
"9,Detlef Schrempf,12.9,12.9,1994-95,32,SEA,82,82,2886,521,997,428,816,93,181,437,521,135,373,508,310,93,35,176,252,1572,.523,.525,.514,.839,.641,.569,F-C,schrede01"
"10,Jack Sikma,12.6,12.6,1981-82,26,SEA,82,82,3049,581,1212,579,1199,2,13,447,523,223,815,1038,277,102,107,213,268,1611,.479,.483,.154,.855,.559,.480,C-F,sikmaja01"
"11,Gary Payton,12.6,12.6,2001-02,33,SEA,82,82,3301,737,1578,663,1342,74,236,267,335,80,316,396,737,131,26,209,179,1815,.467,.494,.314,.797,.526,.490,G,paytoga01"
"12,Gary Payton,12.5,12.5,1997-98,29,SEA,82,82,3145,579,1278,445,881,134,397,279,375,77,299,376,679,185,18,229,195,1571,.453,.505,.338,.744,.544,.505,G,paytoga01"
"13,Kevin Durant,12.2,12.2,2011-12,23,OKC,66,66,2546,643,1297,510,953,133,344,431,501,40,487,527,231,88,77,248,133,1850,.496,.535,.387,.860,.610,.547,F-G,duranke01"
"14,Brent Barry,12.1,12.1,2001-02,30,SEA,81,81,3040,401,790,237,403,164,387,198,234,58,383,441,426,147,37,165,182,1164,.508,.588,.424,.846,.652,.611,G,barrybr01"
"15,Kevin Durant,12.0,12.0,2010-11,22,OKC,78,78,3038,711,1538,566,1124,145,414,594,675,57,476,533,214,88,76,218,159,2161,.462,.504,.350,.880,.589,.509,F-G,duranke01"
"16,Paul George,11.9,11.9,2018-19,28,OKC,77,77,2841,707,1614,415,857,292,757,453,540,105,523,628,318,170,34,205,214,2159,.438,.484,.386,.839,.583,.529,F,georgpa01"
"17,Gary Payton,11.7,11.7,1994-95,26,SEA,82,82,3015,685,1345,615,1113,70,232,249,348,108,173,281,583,204,13,201,206,1689,.509,.553,.302,.716,.564,.535,G,paytoga01"
