"1,Wilt Chamberlain,25.0,25.0,1963-64,27,SFW,80,,3689,1204,2298,1204,2298,,,540,1016,,,1787,403,,,,182,2948,.524,.524,,.531,.537,.524,C,chambwi01"
"2,Wilt Chamberlain,23.1,23.1,1961-62,25,PHW,80,,3882,1597,3159,1597,3159,,,835,1363,,,2052,192,,,,123,4029,.506,.506,,.613,.536,.506,C,chambwi01"
"3,Wilt Chamberlain,20.9,20.9,1962-63,26,SFW,80,,3806,1463,2770,1463,2770,,,660,1113,,,1946,275,,,,136,3586,.528,.528,,.593,.550,.528,C,chambwi01"
"4,Wilt Chamberlain,18.8,18.8,1960-61,24,PHW,79,,3773,1251,2457,1251,2457,,,531,1054,,,2149,148,,,,130,3033,.509,.509,,.504,.519,.509,C,chambwi01"
"5,Neil Johnston,18.3,18.3,1953-54,24,PHW,72,,3296,591,1317,591,1317,,,577,772,,,797,203,,,,259,1759,.449,.449,,.747,.531,.449,C,johnsne01"
"6,Stephen Curry,17.9,17.9,2015-16,27,GSW,79,79,2700,805,1598,403,712,402,886,363,400,68,362,430,527,169,15,262,161,2375,.504,.566,.454,.908,.669,.630,G,curryst01"
"7,Wilt Chamberlain,17.0,17.0,1959-60,23,PHW,72,,3338,1065,2311,1065,2311,,,577,991,,,1941,168,,,,150,2707,.461,.461,,.582,.493,.461,C,chambwi01"
"8,Joe Fulks,16.3,16.3,1946-47,25,PHW,60,,,475,1557,475,1557,,,439,601,,,,25,,,,199,1389,.305,.305,,.730,.381,.305,F-C,fulksjo01"
"9,Paul Arizin,16.0,16.0,1951-52,23,PHW,66,,2939,548,1222,548,1222,,,578,707,,,745,170,,,,250,1674,.448,.448,,.818,.546,.448,F-G,arizipa01"
"10,Stephen Curry,15.7,15.7,2014-15,26,GSW,80,80,2613,653,1341,367,695,286,646,308,337,56,285,341,619,163,16,249,158,1900,.487,.528,.443,.914,.638,.594,G,curryst01"
"11,Neil Johnston,15.4,15.4,1954-55,25,PHW,72,,2917,521,1184,521,1184,,,589,769,,,1085,215,,,,255,1631,.440,.440,,.766,.536,.440,C,johnsne01"
"12,Neil Johnston,15.3,15.3,1952-53,23,PHW,70,,3166,504,1114,504,1114,,,556,794,,,976,197,,,,248,1564,.452,.452,,.700,.534,.452,C,johnsne01"
"13,Rick Barry,14.4,14.4,1966-67,22,SFW,78,,3175,1011,2240,1011,2240,,,753,852,,,714,282,,,,258,2775,.451,.451,,.884,.531,.451,F,barryri01"
"14,Neil Johnston,13.9,13.9,1955-56,26,PHW,70,,2594,499,1092,499,1092,,,549,685,,,872,225,,,,251,1547,.457,.457,,.801,.555,.457,C,johnsne01"
"15,Paul Arizin,13.7,13.7,1950-51,22,PHW,65,,,352,864,352,864,,,417,526,,,640,138,,,,284,1121,.407,.407,,.793,.512,.407,F-G,arizipa01"
"16,Neil Johnston,13.7,13.7,1956-57,27,PHW,69,,2531,520,1163,520,1163,,,535,648,,,855,203,,,,231,1575,.447,.447,,.826,.544,.447,C,johnsne01"
"17,Stephen Curry,13.4,13.4,2013-14,25,GSW,78,78,2846,652,1383,391,768,261,615,308,348,46,288,334,666,128,14,294,194,1873,.471,.509,.424,.885,.610,.566,G,curryst01"
"18,Paul Arizin,13.0,13.0,1958-59,30,PHW,70,,2799,632,1466,632,1466,,,587,722,,,637,119,,,,264,1851,.431,.431,,.813,.519,.431,F-G,arizipa01"
"19,Rick Barry,12.7,12.7,1974-75,30,GSW,80,,3235,1028,2217,1028,2217,,,394,436,92,364,456,492,228,33,,225,2450,.464,.464,,.904,.509,.464,F,barryri01"
"20,Stephen Curry,12.6,12.6,2016-17,28,GSW,79,79,2638,675,1443,351,654,324,789,325,362,61,292,353,524,142,17,239,183,1999,.468,.537,.411,.898,.624,.580,G,curryst01"
"21,Paul Arizin,12.3,12.3,1956-57,28,PHW,71,,2767,613,1451,613,1451,,,591,713,,,561,150,,,,274,1817,.422,.422,,.829,.515,.422,F-G,arizipa01"
"22,Chris Mullin,12.2,12.2,1990-91,27,GSW,82,82,3315,777,1449,737,1316,40,133,513,580,141,302,443,329,173,63,245,176,2107,.536,.560,.301,.884,.618,.550,F-G,mullich01"
"23,Paul Arizin,12.2,12.2,1955-56,27,PHW,72,,2724,617,1378,617,1378,,,507,626,,,539,189,,,,282,1741,.448,.448,,.810,.526,.448,F-G,arizipa01"
"24,Kevin Durant,12.0,12.0,2016-17,28,GSW,62,62,2070,551,1026,434,714,117,312,336,384,39,474,513,300,66,99,138,117,1555,.537,.608,.375,.875,.651,.594,F-G,duranke01"
"25,Kevin Durant,11.5,11.5,2018-19,30,GSW,78,78,2702,721,1383,584,995,137,388,448,506,33,464,497,457,58,84,225,155,2027,.521,.587,.353,.885,.631,.571,F-G,duranke01"
"26,Neil Johnston,11.3,11.3,1957-58,28,PHW,71,,2408,473,1102,473,1102,,,442,540,,,790,166,,,,233,1388,.429,.429,,.819,.518,.429,C,johnsne01"
"27,Stephen Curry,11.2,11.2,2012-13,24,GSW,78,78,2983,626,1388,354,788,272,600,262,291,59,255,314,539,126,12,240,198,1786,.451,.449,.453,.900,.589,.549,G,curryst01"
"28,Draymond Green,11.1,11.1,2015-16,25,GSW,81,81,2808,401,819,301,561,100,258,229,329,134,635,769,598,119,113,259,240,1131,.490,.537,.388,.696,.587,.551,F,greendr01"
"29,Chris Mullin,10.8,10.8,1991-92,28,GSW,81,81,3346,830,1584,766,1409,64,175,350,420,127,323,450,286,173,62,202,171,2074,.524,.544,.366,.833,.586,.544,F-G,mullich01"
