"1,Walt Bellamy,16.3,16.3,1961-62,22,CHP,79,,3344,973,1875,973,1875,,,549,853,,,1500,210,,,,281,2495,.519,.519,,.644,.554,.519,C,bellawa01"
"2,Walt Bellamy,14.4,14.4,1963-64,24,BAL,80,,3394,811,1582,811,1582,,,537,825,,,1361,126,,,,300,2159,.513,.513,,.651,.555,.513,C,bellawa01"
"3,Walt Bellamy,13.7,13.7,1962-63,23,CHZ,80,,3306,840,1595,840,1595,,,553,821,,,1309,233,,,,283,2233,.527,.527,,.674,.571,.527,C,bellawa01"
"4,Gilbert Arenas,13.6,13.6,2005-06,24,WAS,80,80,3384,746,1668,547,1128,199,540,655,799,59,221,280,484,161,25,297,286,2346,.447,.485,.369,.820,.581,.507,G,arenagi01"
"5,Elvin Hayes,12.5,12.5,1974-75,29,WSB,82,,3465,739,1668,739,1668,,,409,534,221,783,1004,206,158,187,,238,1887,.443,.443,,.766,.496,.443,F-C,hayesel01"
"6,Elvin Hayes,12.1,12.1,1976-77,31,WSB,82,,3364,760,1516,760,1516,,,422,614,289,740,1029,158,87,220,,312,1942,.501,.501,,.687,.544,.501,F-C,hayesel01"
"7,Walt Bellamy,12.1,12.1,1964-65,25,BAL,80,,3301,733,1441,733,1441,,,515,752,,,1166,191,,,,260,1981,.509,.509,,.685,.559,.509,C,bellawa01"
"8,Gilbert Arenas,11.5,11.5,2004-05,23,WAS,80,80,3274,656,1523,451,961,205,562,521,640,83,295,378,411,139,23,242,245,2038,.431,.469,.365,.814,.565,.498,G,arenagi01"
"9,Terry Dischinger,11.3,11.3,1963-64,23,BAL,80,,2816,604,1217,604,1217,,,454,585,,,667,157,,,,321,1662,.496,.496,,.776,.564,.496,F-G,dischte01"
"10,Mike Riordan,11.1,11.1,1972-73,27,BAL,82,,3466,652,1278,652,1278,,,179,218,,,404,426,,,,216,1483,.510,.510,,.821,.540,.510,G-F,riordmi01"
"11,Wes Unseld,11.1,11.1,1969-70,23,BAL,82,,3234,526,1015,526,1015,,,273,428,,,1370,291,,,,250,1325,.518,.518,,.638,.551,.518,C-F,unselwe01"
"12,Bailey Howell,10.9,10.9,1964-65,28,BAL,80,,2975,515,1040,515,1040,,,504,629,,,869,208,,,,345,1534,.495,.495,,.801,.582,.495,F,howelba01"
"13,Gilbert Arenas,10.8,10.8,2006-07,25,WAS,74,73,2942,647,1548,442,964,205,584,606,718,61,277,338,443,139,13,236,249,2105,.418,.459,.351,.844,.565,.484,G,arenagi01"
"14,Wes Unseld,10.8,10.8,1968-69,22,BAL,82,,2970,427,897,427,897,,,277,458,,,1491,213,,,,276,1131,.476,.476,,.605,.515,.476,C-F,unselwe01"
"15,Wes Unseld,10.7,10.7,1972-73,26,BAL,79,,3085,421,854,421,854,,,149,212,,,1260,347,,,,168,991,.493,.493,,.703,.523,.493,C-F,unselwe01"
"16,Archie Clark,10.7,10.7,1971-72,30,BAL,76,,3243,701,1500,701,1500,,,507,656,,,265,606,,,,191,1909,.467,.467,,.773,.534,.467,G,clarkar01"
"17,Elvin Hayes,10.6,10.6,1973-74,28,CAP,81,,3602,689,1627,689,1627,,,357,495,354,1109,1463,163,86,240,,252,1735,.423,.423,,.721,.470,.423,F-C,hayesel01"
"18,Wes Unseld,10.6,10.6,1974-75,28,WSB,73,,2904,273,544,273,544,,,126,184,318,759,1077,297,115,68,,180,672,.502,.502,,.685,.538,.502,C-F,unselwe01"
